report_date_as_yyyy_mm_dd,open_interest,dealer_long,dealer_short,asset_mgr_long,asset_mgr_short,lev_long,lev_short,lev_net,lev_net_share_oi
2006-06-13,243513,82773,92521,28335,4178,25809,49758,-23949,-0.09834793214325313
2006-06-13,37964,1129,20885,610,1680,20137,901,19236,0.5066905489411021
2006-06-20,161290,52101,47483,24173,4252,16496,49238,-32742,-0.203000806001612
2006-06-20,28196,780,22531,610,1680,21892,0,21892,0.7764221875443326
2006-06-27,174066,61978,44398,25652,4939,16151,58957,-42806,-0.2459182149299691
2006-06-27,30873,0,26412,1021,1104,25232,0,25232,0.8172837106857125
2006-07-03,168688,55063,52467,26277,4272,16417,49381,-32964,-0.19541401878023332
2006-07-03,32715,0,27411,610,1111,26952,0,26952,0.8238422741861532
2006-07-11,173470,52568,61742,28246,1871,18071,48950,-30879,-0.17800772467861878
2006-07-18,203567,75671,30843,28036,2432,22044,93171,-71127,-0.34940339052989927
2006-07-18,34756,0,30059,617,340,27449,0,27449,0.789762918632754
2006-07-25,208508,85051,30484,26616,2620,19603,98230,-78627,-0.37709344485583285
2006-07-25,34421,0,30865,1067,356,28068,0,28068,0.815432439499143
2006-08-01,195626,63374,53767,27134,2633,25925,65444,-39519,-0.20201302485354708
2006-08-01,32927,0,29641,604,0,26913,0,26913,0.8173535396483129
2006-08-08,198570,62760,55235,29198,2379,26517,71414,-44897,-0.22610162663040742
2006-08-08,34077,0,30791,423,0,28405,0,28405,0.8335534231299704
2006-08-15,216492,69296,47688,30596,2384,31881,89206,-57325,-0.26479038486410583
2006-08-15,36370,0,32655,938,0,29977,0,29977,0.8242232609293374
2006-08-22,227195,82102,42502,30135,2573,30425,100944,-70519,-0.3103897532956271
2006-08-22,36754,0,32713,423,0,30484,0,30484,0.8294063231212929
2006-08-29,244441,95848,38581,31240,3524,29955,118718,-88763,-0.3631264804185877
2006-08-29,38979,524,33367,1283,1548,30854,0,30854,0.791554426742605
2006-09-05,228792,81599,39923,31145,4165,26200,100473,-74273,-0.32463110598272665
2006-09-05,38687,607,33695,2360,1548,30824,0,30824,0.7967534313852198
2006-09-12,275585,103726,32635,36012,6224,43824,129659,-85835,-0.3114647023604333
2006-09-12,42998,228,26070,413,0,23883,566,23317,0.542281036327271
2006-09-19,225098,114980,39433,34971,6848,22390,124015,-101625,-0.45147002638850636
