report_date_as_yyyy_mm_dd,open_interest,dealer_long,dealer_short,asset_mgr_long,asset_mgr_short,lev_long,lev_short,lev_net,lev_net_share_oi
2006-09-19,31933,1112,29218,1225,0,24385,0,24385,0.76363010052297
2006-09-26,221240,114308,32185,34172,6168,19677,129528,-109851,-0.4965241366841439
2006-09-26,31712,1606,28907,1225,0,23694,0,23694,0.7471619576185671
2006-10-03,243819,131049,34167,34034,6241,23534,148110,-124576,-0.5109363913394772
2006-10-10,267803,147171,32983,34554,6933,27820,170434,-142614,-0.5325332427194617
2006-10-17,261575,142480,36929,35283,6975,24854,161279,-136425,-0.5215521360986333
2006-10-24,282998,156032,38602,36183,6852,30624,181030,-150406,-0.5314737206623369
2006-10-31,226607,100087,61322,34394,5840,26850,108521,-81671,-0.3604081074282789
2006-11-07,229063,92714,57972,35126,5864,30597,109225,-78628,-0.3432592780152185
2006-11-07,43094,2894,38576,568,0,32842,0,32842,0.7621014526384183
2006-11-14,233573,93099,61520,34043,5948,30093,106764,-76671,-0.32825283744268385
2006-11-14,42768,2691,39624,568,0,33884,0,33884,0.7922745978301534
2006-11-21,258327,109436,61116,33239,6101,38258,126638,-88380,-0.34212451660105214
2006-11-21,42831,2692,39652,568,0,34177,0,34177,0.7979500828838925
2006-11-28,43629,3787,39118,568,582,32930,0,32930,0.7547732013110545
2006-11-28,252107,91049,83265,31382,5467,38807,92165,-53358,-0.21164822872827807
2006-12-05,268136,86758,94179,28802,4931,35765,79579,-43814,-0.16340215413073964
2006-12-05,50094,3948,37667,577,582,31164,0,31164,0.6221104323871123
2006-12-12,276919,99093,92994,27850,4676,46294,100481,-54187,-0.19567815859511264
2006-12-12,50062,4257,34286,577,582,28192,0,28192,0.5631417042866845
2006-12-19,239042,148783,52102,27899,10592,14149,137632,-123483,-0.516574493185298
2006-12-26,262764,161704,54728,28953,10169,20693,155930,-135237,-0.5146709594921679
2007-01-03,280541,176309,55948,29681,11375,20368,166215,-145847,-0.5198776649402405
2007-01-03,30753,4835,26109,587,582,20294,0,20294,0.6599030988846617
2007-01-09,287999,183627,55251,30960,11777,11244,170384,-159140,-0.5525713630950108
2007-01-09,26846,4411,23328,430,582,16535,0,16535,0.6159204350741265
2007-01-16,308740,207270,55133,32400,13639,12730,187432,-174702,-0.5658547645267863
2007-01-16,31568,3954,28006,430,582,21429,0,21429,0.6788203243791181
2007-01-23,344998,219404,53554,29348,15219,14922,200690,-185768,-0.5384610925280726
2007-01-23,34644,3536,30112,409,582,25788,0,25788,0.7443713197090406
2007-01-30,344070,217372,62887,30524,15312,16803,192246,-175443,-0.5099049611997558
2007-01-30,34589,5460,29857,417,582,23174,0,23174,0.6699817861169736
2007-02-06,314920,191810,74181,29992,15944,15107,151754,-136647,-0.4339101994157246
2007-02-06,35960,6481,31581,409,582,23980,0,23980,0.6668520578420467
2007-02-13,361809,227940,80619,30319,17075,20488,188858,-168370,-0.465356030391726
2007-02-13,38221,8733,32767,418,2356,23547,0,23547,0.6160749326286596
2007-02-20,332216,187329,97661,30061,16509,18359,138408,-120049,-0.36135827293086425
2007-02-20,37841,7994,32012,418,1526,23273,0,23273,0.6150207446949076
2007-02-27,328295,180648,94428,32391,17565,18325,132380,-114055,-0.3474161957995096
2007-02-27,37721,7604,32045,427,1526,23707,0,23707,0.628482807984942
2007-03-06,278491,140588,106407,27687,13955,15465,66715,-51250,-0.18402749101407226
2007-03-06,28229,13849,23887,248,0,9269,573,8696,0.30805200325905985
2007-03-13,281602,126437,113637,28627,14569,26176,61711,-35535,-0.12618873445501097
2007-03-13,37739,15515,22469,0,0,8653,1790,6863,0.18185431516468376
2007-03-20,176550,65104,43396,25400,14209,21950,69167,-47217,-0.2674426508071368
2007-03-27,204073,97443,53527,26533,14961,19310,80922,-61612,-0.30191157085944736
2007-04-03,221748,103357,55555,26478,15178,25109,92494,-67385,-0.30388098201562136
2007-04-10,230370,108678,54240,26670,14895,24995,100865,-75870,-0.3293397577809611
2007-04-17,234796,109945,46024,30752,14921,23259,107317,-84058,-0.3580043953048604
2007-04-24,235531,114982,44181,30150,16822,21726,111157,-89431,-0.3796994875409182
2007-05-01,279868,153525,37291,28853,17421,20664,154128,-133464,-0.47688195863764343
2007-05-08,284780,159114,41615,28381,17881,23128,153192,-130064,-0.4567174661141934
2007-05-15,297263,168881,39748,29694,19712,19800,165839,-146039,-0.49127876661407577
2007-05-22,326431,191604,36178,29291,20245,25267,192825,-167558,-0.5133029644856034
2007-05-22,26615,3324,22376,409,0,17328,0,17328,0.651061431523577
2007-05-29,319048,186240,36746,27287,20850,23819,184088,-160269,-0.5023350718387202
2007-05-29,26709,3353,22275,409,0,17400,0,17400,0.6514657980456026
2007-06-05,311288,165415,40444,28957,21292,27920,168057,-140137,-0.4501843951581815
2007-06-05,26738,3416,22808,409,0,17160,0,17160,0.6417832298601241
2007-06-12,380532,154954,35845,30382,20860,25322,165969,-140647,-0.36960623548085314
2007-06-12,32991,4880,22788,0,584,17157,0,17157,0.5200509229789942
2007-06-19,310083,175068,46304,31722,22108,42301,180307,-138006,-0.44506148353827846
2007-06-26,352299,213887,56182,33308,21946,42053,213207,-171154,-0.4858202833388684
2007-07-03,326811,187552,65712,33846,21939,39788,177606,-137818,-0.42170551174838056
2007-07-10,320333,173754,80817,32303,22677,45776,154714,-108938,-0.3400773570003715
2007-07-10,27630,1283,24785,402,483,20938,0,20938,0.7577994933043793
2007-07-17,303595,185679,64649,33225,23062,26133,167073,-140940,-0.46423689454701167
2007-07-17,27277,2059,23676,402,483,18910,0,18910,0.6932580562378561
2007-07-24,284669,161910,79278,32397,21299,27753,135748,-107995,-0.37937042670610427
2007-07-24,26837,3348,22844,0,1083,17100,0,17100,0.6371800126690763
2007-07-31,264271,150324,112079,29648,19827,24422,86596,-62174,-0.23526607157047122
2007-08-07,263905,148889,135483,30390,17040,23057,67831,-44774,-0.16965953657566168
2007-08-14,278398,159291,156396,29108,17417,30472,62132,-31660,-0.11372208133679121
2007-08-21,273008,162183,174046,23385,16505,31831,42973,-11142,-0.040811990857410774
2007-08-28,276995,163234,180294,24366,15222,31475,40275,-8800,-0.03176952652574956
2007-09-04,269834,166566,165351,23779,15215,20937,48604,-27667,-0.10253340942950111
2007-09-11,299538,167847,181963,19064,15491,29685,39121,-9436,-0.03150184617644506
2007-09-18,168189,93425,79267,15223,15605,18869,47605,-28736,-0.1708554067150646
2007-09-25,171770,87429,92767,14512,17584,27363,35438,-8075,-0.04701053734645165
2007-10-02,197060,123567,103096,15032,19123,16140,46203,-30063,-0.15255759667106464
2007-10-09,224347,142450,110465,15722,19751,25114,64795,-39681,-0.1768733256963543
2007-10-16,228334,140179,108525,15120,20276,32684,68378,-35694,-0.15632363117187978
2007-10-23,225032,130155,124154,13614,19585,39600,54350,-14750,-0.06554623342457962
2007-10-30,222002,114674,125699,13540,19513,50414,53271,-2857,-0.012869253430149278
2007-11-06,216041,104060,119409,15613,16625,53568,56023,-2455,-0.011363583764192909
2007-11-13,190955,81828,122593,16059,14220,43165,28135,15030,0.07870964363331676
2007-11-20,193209,80153,123051,13941,20767,47441,25402,22039,0.11406818522946653
2007-11-27,192574,81369,125878,14688,20420,45459,24126,21333,0.11077819435645518
2007-12-04,195761,84899,127481,12934,18195,47603,27787,19816,0.10122547391972865
2007-12-11,218614,80874,124418,13684,11565,40150,25396,14754,0.06748881590383049
2007-12-18,176620,68220,96855,12182,3618,30687,30829,-142,-0.00080398595855509
2007-12-24,180033,80684,93187,12181,5227,26152,33920,-7768,-0.043147645153944
2007-12-31,181412,76361,94193,16580,4130,25506,35741,-10235,-0.0564185390161621
2008-01-08,193786,61148,119131,20979,3914,42381,21556,20825,0.10746390348115963
2008-01-15,202548,66751,124143,23371,4209,40717,22822,17895,0.0883494282836661
2008-01-22,193308,63689,116940,14326,4561,42520,21908,20612,0.10662776501748505
2008-01-29,206162,65578,131476,14725,4439,55776,22997,32779,0.15899632327975088
2008-02-05,225290,76301,135762,15282,5617,62624,35963,26661,0.11834080518442895
2008-02-12,231216,92334,135985,15479,5718,50804,36188,14616,0.0632136184347104
2008-02-19,237223,90427,139187,15690,5826,57377,41240,16137,0.06802460132449215
2008-02-26,235856,100257,130032,16239,5935,46904,44844,2060,0.008734142866834
2008-03-04,254859,70454,152672,15516,3432,87909,46341,41568,0.1631019504902711
2008-03-11,234069,70794,145660,14328,4060,79661,39990,39671,0.16948421192041663
2008-03-18,193580,52574,144998,14905,4461,82871,25344,57527,0.297174294865172
2008-03-25,196616,53924,149003,16149,4631,90283,24512,65771,0.33451499369329046
2008-04-01,189206,56461,136224,15805,4083,76944,27818,49126,0.25964292887117746
2008-04-08,182491,62383,125595,14884,3823,66408,31373,35035,0.19198207034867473
2008-04-15,177514,56627,121572,14973,4018,66337,24954,41383,0.23312527462622668
2008-04-22,172737,76623,106690,15514,4286,38395,29678,8717,0.050464000185252725
2008-04-29,166940,66200,112813,13722,4746,47889,19752,28137,0.16854558524020608
2008-05-06,169098,69103,105496,14606,4858,43249,23603,19646,0.11618114939265987
2008-05-13,174423,74639,100388,14965,4836,36108,30834,5274,0.0302368380316816
2008-05-20,165388,61354,100079,14581,4820,41827,25925,15902,0.0961496601930007
2008-05-27,171688,62314,94543,14992,5321,41899,32171,9728,0.05666091980802386
2008-06-03,164454,67317,71334,15012,5729,31830,33205,-1375,-0.00836100064455714
2008-06-10,202372,72402,69131,15126,4849,24766,32676,-7910,-0.03908643488229597
2008-06-17,161544,50908,58210,14888,5119,29141,28561,580,0.003590353092655871
2008-06-24,164015,52238,45470,14935,4716,27869,44333,-16464,-0.10038106270767917
2008-07-01,175598,52479,62812,14659,4641,36443,22007,14436,0.08221050353648675
2008-07-08,175428,58054,57495,14719,4806,28221,31340,-3119,-0.017779373874182002
2008-07-15,213992,55862,104289,17006,4899,62267,21744,40523,0.18936689222026992
2008-07-22,187785,67993,72921,15209,5434,33688,32466,1222,0.006507442021460713
2008-07-29,178959,77377,51368,13566,5648,22313,43680,-21367,-0.11939606278533071
2008-08-05,200818,88398,60336,13901,6070,29895,56816,-26921,-0.13405670806401818
2008-08-12,208622,99594,60992,12738,6286,31519,61958,-30439,-0.1459050339849105
2008-08-19,212982,106030,59779,13246,6496,27024,64666,-37642,-0.17673794029542403
2008-08-26,209138,105323,66675,13266,6520,24479,59971,-35492,-0.1697061270548633
2008-09-02,205813,101563,79964,13354,6513,22550,42003,-19453,-0.09451783900919766
2008-09-09,206916,96024,96450,13834,6471,22698,22237,461,0.00222795723868623
2008-09-16,132133,49893,59159,18310,6218,35625,16619,19006,0.1438399188696238
2008-09-23,141677,51905,80442,30074,6457,31604,13905,17699,0.12492500547018923
2008-09-30,159908,61027,85402,27544,6050,40682,21966,18716,0.11704229932211022
2008-10-07,158003,56328,95402,27539,6430,40643,15335,25308,0.16017417390809036
2008-10-14,132983,58440,79271,13619,6599,30320,14085,16235,0.12208327380191453
2008-10-21,138768,55524,72362,10308,14532,32804,11987,20817,0.150012971290211
2008-10-28,143020,57224,69720,10424,13148,32164,14762,17402,0.1216752901692071
2008-11-04,129500,57108,65265,7531,22060,29777,10995,18782,0.14503474903474903
2008-11-11,130102,61568,65876,8327,24650,31068,12508,18560,0.14265729965719204
2008-11-18,129694,53724,68475,8231,22940,37316,9617,27699,0.21357194627353618
2008-11-25,131206,52935,65613,8357,23250,40695,12983,27712,0.21120985320793256
2008-12-02,138994,54885,66933,9194,23350,40889,13490,27399,0.19712361684677038
2008-12-09,166059,48901,102572,9397,20072,59328,6111,53217,0.3204704352067639
2008-12-16,110472,29703,46472,12317,7397,40162,9069,31093,0.28145593453544787
2008-12-22,105339,29029,43219,12700,7602,37059,6278,30781,0.29220896344184016
2008-12-30,105926,28670,44440,13101,7719,38508,5566,32942,0.31099069161490095
2009-01-06,110160,29210,44747,13995,7731,43325,7525,35800,0.3249818445896877
2009-01-13,107714,28970,44908,14033,7635,41375,6784,34591,0.3211374565980281
2009-01-20,113171,27612,52510,17030,7697,43764,5320,38444,0.3396983326117115
2009-01-27,115063,26378,60384,15899,7492,46508,3457,43051,0.3741515517586018
2009-02-03,117069,25798,61091,15326,7040,49287,4894,44393,0.37920371746576803
2009-02-10,106751,29343,45997,13745,6885,37347,5142,32205,0.3016833565961911
2009-02-17,108685,32315,38083,13630,6917,36468,12119,24349,0.2240327552100106
2009-02-24,108705,31817,37726,19917,6728,32954,13144,19810,0.18223632767581988
2009-03-03,110223,31932,34210,18587,9910,37124,15162,21962,0.19925061012674306
2009-03-10,114020,33525,31027,18388,9247,35799,18943,16856,0.14783371338361692
2009-03-17,70507,14300,15590,11112,9812,24065,23261,804,0.011403123094160864
2009-03-24,69923,19339,14462,10948,10395,22527,22376,151,0.00215951832730289
2009-03-31,76607,23168,14027,10959,10167,24700,28718,-4018,-0.052449515057370735
2009-04-07,84138,32921,13542,12123,10666,22255,30527,-8272,-0.09831467351256269
2009-04-14,82017,33279,15628,11884,10735,17836,26881,-9045,-0.11028201470426863
2009-04-21,74215,27126,21827,11193,10561,17159,16438,721,0.009715017179815402
2009-04-28,75734,24999,31376,9183,11282,20112,8077,12035,0.1589114532442496
2009-05-05,75595,26747,27677,9222,11717,18308,10482,7826,0.10352536543422183
2009-05-12,85709,25890,41902,11117,11658,25188,8219,16969,0.19798387567233314
2009-05-19,90204,25039,49603,11666,11193,27186,5924,21262,0.2357101680635005
2009-05-26,96706,24731,50542,11724,11069,31699,8535,23164,0.23953012222612868
2009-06-02,96969,24039,50391,14317,10819,30811,8133,22678,0.23386855593024575
2009-06-09,93527,31552,39406,14413,10228,23149,14438,8711,0.09313887968180312
2009-06-16,62998,12707,17800,16283,10320,15998,12684,3314,0.05260484459824121
2009-06-23,73797,12067,31236,18663,10216,20020,11843,8177,0.11080396222068647
2009-06-30,73476,12821,35848,19471,8858,20993,10095,10898,0.14832054004028528
2009-07-07,89956,12151,57195,21115,7152,32366,6591,25775,0.28652896971852904
2009-07-14,110140,11615,77567,20747,7206,48354,5939,42415,0.3851007808244053
2009-07-21,110610,11463,81225,19852,6889,49236,5147,44089,0.39859868004701204
2009-07-28,90649,9888,63545,19988,6585,32279,2477,29802,0.32876258976933004
2009-08-04,80101,9874,45668,20395,6593,22967,7951,15016,0.18746332754896944
2009-08-11,70654,10670,23626,20618,6464,18849,13347,5502,0.07787244883516857
2009-08-18,72642,9724,29362,20590,6736,20271,11913,8358,0.11505740480713637
2009-08-25,86500,10305,45973,20592,6984,29117,11023,18094,0.2091791907514451
2009-09-01,107605,9598,69715,20429,6799,46177,7637,38540,0.3581617954556015
2009-09-08,115249,9214,80466,20520,7205,50886,2780,48106,0.41740926168556775
2009-09-15,108330,6523,74750,21288,8477,47652,5262,42390,0.391304347826087
2009-09-22,119425,7015,88056,22817,8806,57576,3837,53739,0.44998115972367597
2009-09-29,119276,8431,85090,22583,9151,55551,3773,51778,0.4341024179214595
2009-10-06,120340,8166,87173,23827,9541,53436,2642,50794,0.4220874189795579
2009-10-13,119052,13843,81649,25811,9209,43771,1435,42336,0.35560931357726033
2009-10-20,120630,17884,79170,26483,10684,43060,2697,40363,0.3346016745419879
2009-10-27,115161,27653,70983,26536,9013,30417,6704,23713,0.20591172358697823
2009-11-03,110032,23295,64647,25294,9862,31844,6413,25431,0.23112367311327614
2009-11-09,117344,25814,69340,25451,9732,34420,9285,25135,0.21419927733842378
2009-11-17,125908,16596,78405,26346,9816,41502,4284,37218,0.29559678495409347
2009-11-24,131833,8140,84563,25758,8877,56812,4189,52623,0.3991640939673678
2009-12-01,144123,11093,91057,26071,9578,64249,10277,53972,0.3744856823685324
2009-12-08,123501,21653,75673,27183,9134,40750,4069,36681,0.2970097408118153
2009-12-15,88438,8464,43371,28635,11235,25383,7837,17546,0.19839887831022862
2009-12-22,93224,19724,41434,28125,10567,21639,13634,8005,0.08586844589376126
2009-12-29,95217,31139,36075,28204,9412,13881,20257,-6376,-0.06696283226734721
2010-01-05,104231,41931,39813,28424,7960,12930,24062,-11132,-0.10680123955445117
2010-01-12,120568,54221,43843,26885,9250,14801,26215,-11414,-0.09466856877446753
2010-01-19,122367,49485,46703,27749,8792,18301,27078,-8777,-0.0717268544623959
2010-01-26,119819,35214,53731,28338,8818,23212,18847,4365,0.03642994850566271
2010-02-02,116129,32939,59755,28646,7356,22794,10496,12298,0.10589947386096496
2010-02-09,120060,20425,65963,31935,5407,31570,6383,25187,0.20978677328002665
2010-02-16,119816,27063,64998,32245,4008,25649,8312,17337,0.14469686853174868
2010-02-23,122919,36780,55909,32979,4537,20038,18043,1995,0.016230200375857273
2010-03-02,133600,15898,73666,36060,5273,44004,10296,33708,0.2523053892215569
2010-03-09,137443,20295,72909,35695,5551,40086,11450,28636,0.20834818797610646
2010-03-16,95999,5961,39735,34267,5603,29987,16745,13242,0.13793893686392567
2010-03-23,96913,6978,34878,34074,6155,30483,21083,9400,0.09699421130292117
2010-03-30,109417,35221,13257,32914,6422,15039,40827,-25788,-0.2356854967692406
2010-04-06,123837,50240,9425,30772,8260,13680,52254,-38574,-0.3114901039269362
2010-04-13,131723,65915,9876,31484,7700,7922,60844,-52922,-0.40176734511057294
2010-04-20,134324,68478,16201,31325,7146,10458,57022,-46564,-0.34665435811917455
2010-04-27,137780,72612,16618,30492,7775,9336,61012,-51676,-0.3750616925533459
2010-05-04,147243,81134,11666,29219,8066,9084,70995,-61911,-0.4204682056192824
2010-05-11,146389,67631,42183,30103,8337,17568,52604,-35036,-0.23933492270594103
2010-05-18,142699,63734,35571,33225,7492,15530,52022,-36492,-0.25572708988850656
2010-05-25,140769,45459,53823,34196,8078,25713,31533,-5820,-0.04134433007267225
2010-06-01,133365,35320,57555,35546,8165,27807,25077,2730,0.02047013834214374
2010-06-08,133010,39404,54169,37969,7116,23277,28361,-5084,-0.03822269002330652
2010-06-15,82217,6618,20679,38198,6813,19769,21148,-1379,-0.016772686913898584
2010-06-22,91415,6191,32348,38171,7187,25593,20602,4991,0.05459716676694197
2010-06-29,120484,5809,66342,38629,10318,47556,14948,32608,0.2706417449619867
2010-07-06,135128,5733,87970,39111,10055,58020,6112,51908,0.3841394825646794
2010-07-13,133665,5946,87208,38170,9390,58060,7961,50099,0.3748101597276774
2010-07-20,127658,6433,83629,36284,9359,50625,4756,45869,0.35931159817637753
2010-07-27,124595,7079,71422,35593,8845,47766,10100,37666,0.3023074762229624
2010-08-03,133870,7078,85108,34323,8869,57738,6938,50800,0.379472622693658
2010-08-10,136999,7416,86177,34329,8612,61285,7623,53662,0.39169628975393983
2010-08-17,137645,7831,85995,36544,8212,58420,6111,52309,0.38002833375712886
2010-08-24,140128,8853,84545,37734,8213,55264,7208,48056,0.3429435944279516
2010-08-31,139079,10059,81427,40152,9071,52788,7714,45074,0.324089186721216
2010-09-07,150513,11139,85606,38816,7578,55173,9992,45181,0.3001800508926139
2010-09-14,134360,8440,84316,41303,8228,51948,9328,42620,0.31720750223280736
2010-09-21,113349,10033,67161,40272,5788,33323,13240,20083,0.1771784488614809
2010-09-28,118274,8860,69586,40430,5796,37174,12355,24819,0.20984324534555354
2010-10-05,142488,7015,85280,41856,5619,59143,14359,44784,0.314300151591713
2010-10-12,146581,10792,89364,40817,5577,57852,11709,46143,0.3147952326699913
2010-10-19,139496,10626,83740,40068,5114,52791,11247,41544,0.29781499111085624
2010-10-26,139850,10681,84041,40593,5131,49876,12371,37505,0.26818019306399715
2010-11-02,140062,10939,89363,37626,5034,51119,11044,40075,0.28612328825805716
2010-11-09,140515,13283,79046,35743,4568,37340,10628,26712,0.19010070099277657
2010-11-16,131701,16348,65592,33548,6205,32996,17655,15341,0.11648354985915065
2010-11-23,129620,17060,65010,33178,5501,29210,18566,10644,0.08211695725968214
2010-11-30,133069,16145,66213,34651,5536,31861,20030,11831,0.08890876161991147
2010-12-07,132233,16265,61091,34325,5954,24070,18531,5539,0.041888182223801924
2010-12-14,96110,6772,37518,36065,5368,30175,16807,13368,0.13909062532514826
2010-12-21,90072,6595,30802,32396,5757,26660,18025,8635,0.09586775024424904
2010-12-28,109343,6492,50314,31827,5335,43230,15361,27869,0.2548768553999799
2011-01-04,128483,6453,66023,33598,4166,58969,15446,43523,0.3387452036456185
2011-01-11,107132,7286,51451,33555,4224,38108,15428,22680,0.2117014524138446
2011-01-18,110405,7253,47230,33495,5063,38457,19862,18595,0.16842534305511525
2011-01-25,116661,7222,54620,31537,5406,44866,18633,26233,0.2248652077386616
2011-02-01,116384,7808,54359,29986,5472,42962,15604,27358,0.23506667583172944
2011-02-08,117705,7775,54561,27348,5728,47774,16880,30894,0.2624697336561743
2011-02-15,116803,16781,25750,26476,7514,23786,39895,-16109,-0.1379159781854918
2011-02-22,124016,27541,29116,25704,7480,45552,46274,-722,-0.005821829441362405
2011-03-01,136561,10843,66676,25947,8464,70347,18023,52324,0.3831547806474762
2011-03-08,131247,12522,58052,27160,8223,60815,21907,38908,0.29644868073175007
2011-03-15,114701,7763,43047,26499,6992,46447,22075,24372,0.21248289029738188
2011-03-22,112051,8236,53465,24037,7499,46376,18083,28293,0.2525010932521798
2011-03-29,100377,7688,32419,23960,7695,34783,24060,10723,0.10682726122518106
2011-04-05,120632,47947,13142,21189,8748,22298,50412,-28114,-0.23305590556402944
2011-04-12,130084,63398,10074,21933,8721,19862,60709,-40847,-0.3140047969004643
2011-04-19,127838,61588,11422,23234,10258,20048,60861,-40813,-0.31925562039456185
2011-04-26,114134,42311,13561,22949,9675,20927,44208,-23281,-0.2039795328298316
2011-05-03,104590,27847,16502,24857,8030,20234,34155,-13921,-0.1331006788411894
2011-05-10,102289,15673,32876,26324,7465,30130,18386,11744,0.11481195436459443
2011-05-17,103453,15685,34496,27094,8300,30933,16827,14106,0.1363517732690207
2011-05-24,99264,16519,33987,26736,8514,25818,17780,8038,0.08097598323662153
2011-05-31,95929,21186,28767,25737,8654,17167,19553,-2386,-0.024872561998978412
2011-06-07,106199,15416,38073,27208,8748,28036,16535,11501,0.10829668829273345
2011-06-14,94483,6267,39388,25475,8565,32551,9515,23036,0.24381105595715633
2011-06-21,99071,2734,46500,25504,8636,39188,10854,28334,0.28599691130603305
2011-06-28,94286,9220,34527,26798,8677,32833,13870,18963,0.2011221178117642
2011-07-05,94901,10846,37814,25474,8146,33112,13120,19992,0.210661636863679
2011-07-12,115846,8886,52840,26849,8145,45700,17361,28339,0.24462648688776478
2011-07-19,129653,7824,69853,28440,8315,56533,16519,40014,0.30862378811134333
2011-07-26,138932,6571,75717,29900,7848,64448,18397,46051,0.3314643134770967
2011-08-02,148888,6644,84637,28969,8056,72144,18721,53423,0.35881333619902206
2011-08-09,119904,5776,68478,31462,9381,46272,12664,33608,0.28029089938617563
2011-08-16,126262,6283,74125,32983,8835,50822,13007,37815,0.2994962855015761
2011-08-23,131217,6554,74623,34936,9570,56213,14276,41937,0.31960035666110337
2011-08-30,126128,6377,73539,34816,9195,49879,10254,39625,0.3141649752632247
2011-09-06,123412,7270,67205,35573,9104,48378,9717,38661,0.3132677535409847
2011-09-13,151535,9802,70984,36846,9245,51903,13528,38375,0.25324182532088296
2011-09-20,127828,870,69996,37476,8676,57364,18408,38956,0.30475326219607596
2011-09-27,125732,2557,67539,37781,9366,55258,15966,39292,0.31250596506855854
2011-10-04,134724,2023,76377,42433,10108,59897,13562,46335,0.3439253585107331
2011-10-11,153849,2015,96442,60759,9141,61251,15127,46124,0.2998004536916067
2011-10-18,152255,2438,90767,57531,9628,64005,17957,46048,0.3024399855505566
2011-10-25,165616,1337,106927,55311,8398,71719,16668,55051,0.33240145879625155
2011-11-01,138045,7493,85075,51899,7863,50160,14677,35483,0.25703937121952986
2011-11-08,138981,9621,86815,53267,7441,49153,14215,34938,0.2513868802210374
2011-11-15,142233,9200,90374,54011,8114,54801,14368,40433,0.284272988687576
2011-11-22,149571,9554,99890,54635,9402,61021,12165,48856,0.3266408595249079
2011-11-29,166279,19526,113642,60973,9406,61943,13871,48072,0.289104456966905
2011-12-06,178625,19319,118944,63230,10102,65312,12051,53261,0.2981721483554933
2011-12-13,204818,18117,118137,63825,10571,65328,10219,55109,0.2690632659238934
2011-12-20,132006,362,63249,64602,10779,47033,29458,17575,0.1331378876717725
2011-12-27,132557,167,58699,65557,11037,48339,32683,15656,0.11810768197831877
2012-01-03,158719,637,72126,66076,10700,68131,46202,21929,0.13816241281762107
2012-01-10,163533,638,73601,65056,10842,72333,49153,23180,0.14174509120483328
2012-01-17,168070,597,76658,65833,10776,74036,52602,21434,0.1275301957517701
2012-01-24,152061,597,61506,65802,10329,61327,47906,13421,0.0882606322462696
2012-01-31,172967,1782,73664,65034,10058,76797,54093,22704,0.13126203264206468
2012-02-07,178512,1881,75448,66621,7189,81094,60817,20277,0.11358900242000537
2012-02-14,153683,3093,52247,65577,6833,60802,53826,6976,0.04539213836273368
2012-02-21,150551,8073,40159,64710,6444,58102,58335,-233,-0.0015476483052254718
2012-02-28,148310,18353,30246,63850,8117,47777,59593,-11816,-0.07967095947677162
2012-03-06,147952,30005,26417,63344,9757,29578,53323,-23745,-0.16049124040229262
2012-03-13,196396,47574,25360,64153,8630,25032,61537,-36505,-0.1858744577282633
2012-03-20,139769,27059,17859,63494,9023,35286,63689,-28403,-0.20321387432120142
2012-03-27,145497,57357,9918,63750,9788,11172,74671,-63499,-0.43642824250671836
2012-04-03,150382,57721,14156,64293,9167,15910,73151,-57241,-0.38063731031639425
