date,resident_foreign_equity_net_100m_yen,resident_foreign_long_debt_net_100m_yen,resident_foreign_short_debt_net_100m_yen,resident_foreign_total_net_100m_yen,nonresident_japan_equity_net_100m_yen,nonresident_japan_long_debt_net_100m_yen,nonresident_japan_short_debt_net_100m_yen,nonresident_japan_total_net_100m_yen
2007-10-20,-865,2722,166,2023,-3212,1819,903,-490
2007-10-27,247,4464,2768,7479,434,7393,-593,7233
2007-11-03,1170,9218,-829,9559,2022,2856,537,5415
2007-11-10,61,6203,3562,9826,-3917,9070,11469,16622
2007-11-17,-512,-1894,-618,-3024,-3056,649,12087,9679
2007-11-24,-849,9496,1152,9800,-3728,887,7073,4231
2007-12-01,508,-8740,-2103,-10335,1345,-1057,13079,13366
2007-12-08,1764,-1871,-880,-986,-537,-6617,11134,3980
2007-12-15,-857,10632,-1691,8084,-5533,5599,24977,25044
2007-12-22,-783,4265,-669,2813,-3282,-8340,5580,-6042
2007-12-29,-288,-1490,394,-1384,2093,669,-585,2177
2008-01-12,383,8229,1322,9934,-646,4701,-3097,959
2008-01-19,1848,10024,273,12145,-3676,2974,-9178,-9880
2008-01-26,3092,1281,113,4486,-5590,-1258,-5797,-12645
2008-02-02,1132,4873,-491,5515,-4488,-145,2730,-1903
2008-02-09,1246,4658,-1358,4547,-386,5248,1634,6496
2008-02-16,1791,-3466,3141,1465,1711,-1630,2948,3030
2008-02-23,212,-904,-646,-1339,-1591,-5722,-3637,-10950
2008-03-01,2129,5677,458,8263,-774,-3874,7398,2750
2008-03-08,618,7476,-122,7972,-4177,4248,4479,4549
2008-03-15,-316,9313,615,9612,-9928,8677,-7450,-8701
2008-03-22,308,2902,-1381,1829,-1611,-23718,13884,-11446
2008-03-29,1682,-8338,-821,-7477,-1033,-2862,-8447,-12342
2008-04-05,1340,-3298,-876,-2833,4872,7325,16901,29098
2008-04-12,826,5297,180,6302,-6,5610,1291,6896
2008-04-19,49,-8335,7,-8280,1360,845,4350,6554
2008-04-26,113,-360,-1041,-1287,3008,-5880,4036,1164
2008-05-03,97,-140,20,-23,4166,-8591,-5835,-10260
2008-05-10,525,9234,771,10530,-123,313,11669,11859
2008-05-17,-493,3176,122,2805,3749,-1147,7042,9644
2008-05-24,301,4827,466,5595,661,-4929,2197,-2071
2008-05-31,551,859,105,1516,2743,2671,9953,15367
2008-06-07,169,4050,-31,4187,3419,2709,9989,16118
2008-06-14,-73,-1643,462,-1255,1535,7262,-2077,6720
2008-06-21,177,-2249,253,-1818,342,-13332,-3824,-16814
2008-06-28,650,4976,-58,5567,-5147,-4221,12823,3455
2008-07-05,1148,1229,204,2581,-1939,5147,18554,21762
2008-07-12,131,-595,1049,586,-2423,5276,-14326,-11473
2008-07-19,711,1677,32,2420,-2976,3335,10733,11092
2008-07-26,-35,3432,-981,2416,-728,-320,-4599,-5648
2008-08-02,1352,-1675,219,-104,-3830,2075,3019,1263
2008-08-09,-641,-4697,-1397,-6735,-2375,12259,3387,13271
2008-08-16,-534,6218,2031,7715,439,5044,-9969,-4486
2008-08-23,-828,-14193,1541,-13480,-2151,5579,-1504,1925
2008-08-30,5,-7466,86,-7376,1311,4394,2132,7837
2008-09-06,-121,9066,1631,10576,-3088,1052,-5072,-7107
2008-09-13,-380,-7284,1119,-6544,-3954,8032,-7322,-3244
2008-09-20,-165,-548,-5327,-6041,139,-508,-1205,-1574
2008-09-27,1148,3618,63,4828,-2368,-11938,-4915,-19221
2008-10-04,1660,2704,-89,4275,-4915,-8902,6236,-7581
2008-10-11,1728,-7945,-341,-6558,347,-8610,-7897,-16160
2008-10-18,3483,1151,-80,4554,-3008,-7923,9794,-1137
2008-10-25,2017,-9122,-43,-7148,-2770,-957,1920,-1808
2008-11-01,4203,10586,10,14799,-4973,-3062,-2437,-10471
2008-11-08,4304,6358,577,11238,-1986,-5737,1832,-5892
2008-11-15,1612,2137,441,4190,-5137,-901,170,-5868
2008-11-22,5129,-1775,-147,3208,-6278,-8390,-325,-14993
2008-11-29,3376,-652,-358,2367,11,-1768,-6569,-8326
2008-12-06,4952,-4771,284,466,-4002,-794,151,-4646
2008-12-13,2742,-8849,224,-5883,-2218,2364,-6973,-6827
2008-12-20,2411,6028,211,8650,-1627,-1683,-8493,-11804
2008-12-27,2708,1110,24,3842,-1289,-5761,-29244,-36295
2009-01-10,732,8218,542,9491,-115,-2523,16895,14257
2009-01-17,4025,-893,-644,2488,-3862,2545,-23670,-24987
2009-01-24,906,522,1676,3105,-3764,-924,533,-4155
2009-01-31,4822,4574,793,10189,-3289,-3417,2249,-4457
2009-02-07,3360,6303,3303,12966,-2773,-2705,5817,339
2009-02-14,1240,13759,-139,14860,-2098,-455,1412,-1141
2009-02-21,2151,12409,549,15109,-4508,-765,3064,-2210
2009-02-28,767,3120,233,4120,-1569,2433,10784,11648
2009-03-07,3347,-9027,-311,-5992,-6582,-2215,3692,-5105
2009-03-14,1043,9490,-101,10433,-2124,582,-1738,-3280
2009-03-21,62,2616,90,2768,-6242,5119,-7140,-8264
2009-03-28,2464,6653,214,9331,-1878,-7198,-13753,-22828
2009-04-04,746,-21078,-259,-20591,447,885,8647,9979
2009-04-11,79,8169,-14,8234,1145,-1635,-10587,-11078
2009-04-18,984,10284,-32,11236,-538,-3853,5123,732
2009-04-25,-60,8374,-372,7941,-86,-1139,3324,2099
2009-05-02,-196,-568,-784,-1549,2090,-113,2184,4161
2009-05-09,-10,2190,288,2468,4463,-723,-8043,-4303
2009-05-16,-5,120,440,555,-1398,-4232,11370,5740
2009-05-23,768,6411,794,7972,48,-2715,-5369,-8037
2009-05-30,1386,9810,-663,10533,1802,-2199,3584,3187
2009-06-06,1422,4749,-221,5950,919,-1216,5220,4923
2009-06-13,-368,5777,-588,4821,2461,-1562,-1276,-377
2009-06-20,188,2797,393,3377,809,-1255,-9310,-9755
2009-06-27,1505,15316,-428,16393,-1951,-6667,-591,-9209
2009-07-04,1345,-4708,107,-3257,836,3987,4878,9700
2009-07-11,524,6751,-222,7053,-515,1260,-5684,-4938
2009-07-18,1011,38,277,1326,812,-489,8069,8391
2009-07-25,154,912,-350,716,3732,-270,-4609,-1146
2009-08-01,102,-813,-574,-1285,4247,-6679,-2551,-4983
2009-08-08,-988,1282,-226,68,2931,-525,-1445,961
2009-08-15,-872,232,174,-466,2740,-347,-564,1829
2009-08-22,388,5444,545,6378,-1392,2404,-6391,-5378
2009-08-29,558,-750,-145,-337,867,76,11679,12621
2009-09-05,425,-2762,336,-2001,1327,1828,-263,2892
2009-09-12,471,16609,1861,18942,-1334,-8950,-4402,-14687
2009-09-19,957,-1166,428,219,245,-4071,-21903,-25729
2009-09-26,-202,-6808,-848,-7857,-1179,-6284,2930,-4533
2009-10-03,1042,-12788,309,-11437,-696,6633,-589,5348
2009-10-10,-254,2566,948,3261,3924,-3009,-1134,-218
2009-10-17,-545,-3782,-37,-4363,1094,-1975,5896,5014
2009-10-24,-511,3037,1060,3586,353,-1168,4907,4093
2009-10-31,-80,-1385,-111,-1576,465,-3468,555,-2448
2009-11-07,-469,3447,356,3333,-74,-2156,-2059,-4289
2009-11-14,-467,7579,1085,8197,212,318,-4516,-3986
2009-11-21,-234,-1913,725,-1421,-2393,-943,9342,6006
2009-11-28,25,4129,-343,3810,616,460,-4189,-3114
2009-12-05,897,8818,-162,9553,6362,-1661,12767,17468
2009-12-12,373,-3265,316,-2576,71,-1879,-12661,-14470
2009-12-19,-219,-4366,-180,-4766,770,1802,13879,16451
2009-12-26,-27,-4340,-489,-4856,3650,-8948,-11856,-17154
2010-01-09,-711,-7163,-507,-8381,7337,-5398,14597,16536
2010-01-16,-1223,-149,-103,-1475,6121,-1521,2959,7560
2010-01-23,-260,6623,-210,6153,2309,1094,157,3560
2010-01-30,1258,8957,-561,9654,-334,-2385,-2188,-4907
2010-02-06,2013,-184,100,1928,599,-833,-1673,-1907
2010-02-13,1155,4541,96,5792,1061,318,-2941,-1562
2010-02-20,-288,3740,652,4104,372,3105,5431,8908
2010-02-27,377,-35,-581,-240,577,3766,2508,6850
2010-03-06,1195,6781,-308,7669,2619,4624,-2104,5139
2010-03-13,-661,-19,1443,764,-2680,-1351,-5998,-10030
2010-03-20,-347,-769,480,-636,1267,-5274,9377,5370
2010-03-27,-111,-995,-947,-2053,-2750,-6102,-20498,-29350
2010-04-03,502,4025,-572,3954,5388,-3202,-9216,-7031
2010-04-10,-1439,5717,22,4299,4338,2542,5508,12387
2010-04-17,-820,4388,411,3979,1411,2012,-769,2654
2010-04-24,644,-1004,862,503,-343,2740,10645,13042
2010-05-01,47,-242,-590,-785,200,5559,-13783,-8023
2010-05-08,4,-15665,295,-15366,-2380,-2517,18992,14095
2010-05-15,1483,5957,165,7606,-1722,11,15573,13862
2010-05-22,2712,10454,927,14093,-4347,459,6215,2326
2010-05-29,2759,11749,-692,13817,-817,962,8262,8408
2010-06-05,2258,12939,-473,14724,-752,1596,-1649,-805
2010-06-12,1093,8119,-1069,8143,-9160,-122,-6486,-15768
2010-06-19,573,1496,453,2521,10,-1480,6729,5259
2010-06-26,-526,8620,299,8393,-1838,-3762,-7889,-13489
2010-07-03,1432,10672,-166,11939,-916,-106,3079,2057
2010-07-10,1395,7041,-29,8407,1635,2087,4920,8643
2010-07-17,492,12760,471,13724,-298,2313,9232,11247
2010-07-24,243,10438,197,10878,-284,1066,-2758,-1976
2010-07-31,-204,12735,516,13047,1441,2874,-2323,1991
2010-08-07,-329,10409,-1,10079,1501,1887,6330,9718
2010-08-14,80,21787,578,22445,-403,2183,-852,928
2010-08-21,320,10408,668,11396,-413,-1295,-3489,-5197
2010-08-28,1410,793,58,2261,-1500,774,4138,3412
2010-09-04,2152,7308,516,9977,396,1017,4935,6347
2010-09-11,89,2320,-516,1893,-2527,982,7491,5945
2010-09-18,-697,8038,-682,6659,405,-1514,7417,6309
2010-09-25,-732,11058,-473,9853,-764,-3637,3239,-1162
2010-10-02,-1190,6795,-31,5574,48,10988,-1160,9876
2010-10-09,-1057,757,-251,-551,370,-6187,450,-5367
2010-10-16,-39,9195,-132,9024,1335,-1881,577,30
2010-10-23,-554,6824,351,6621,1142,7197,2623,10963
2010-10-30,288,5663,169,6120,-510,3741,4964,8195
2010-11-06,211,4058,85,4355,1900,-3055,3694,2539
2010-11-13,25,7270,218,7513,1020,628,-1639,9
2010-11-20,-60,-12417,499,-11979,1721,-2177,1726,1270
2010-11-27,151,-6035,-126,-6010,558,52,-913,-303
2010-12-04,248,-7572,-49,-7373,2088,2216,6731,11036
2010-12-11,-16,-3042,57,-3001,964,-4173,178,-3031
2010-12-18,-333,-1884,721,-1497,2244,-285,4312,6271
2010-12-25,-156,301,-66,79,517,-2562,-8373,-10418
2011-01-08,-307,5575,240,5508,2661,-3299,21122,20484
2011-01-15,-247,7593,-645,6701,3252,190,8980,12422
2011-01-22,-266,1532,794,2060,170,264,23865,24299
2011-01-29,-513,-113,-892,-1519,558,6086,13959,20604
2011-02-05,-80,3879,-8,3790,1981,2117,-7070,-2972
2011-02-12,-87,-1135,203,-1019,1957,-2554,-2601,-3198
2011-02-19,-1511,284,511,-717,6239,-1953,14618,18904
2011-02-26,-336,3427,3,3093,-1185,8621,-300,7136
2011-03-05,64,-2360,-290,-2585,1634,4810,-5389,1054
2011-03-12,0,7693,29,7721,175,-234,-2966,-3025
2011-03-19,-1017,3726,41,2750,8932,1901,-8955,1878
2011-03-26,-338,9720,-171,9210,-132,-960,-11125,-12217
2011-04-02,-238,-11778,-339,-12355,1447,1094,4600,7141
2011-04-09,-1610,1765,14,169,3876,-4449,14767,14194
2011-04-16,-3774,2266,385,-1123,895,-1719,15449,14624
2011-04-23,-56,-1715,146,-1624,347,9645,-5656,4336
2011-04-30,641,5413,299,6352,1098,13817,-27849,-12935
2011-05-07,-215,-6998,270,-6943,466,1777,2422,4665
2011-05-14,805,-1675,-463,-1333,311,12656,9898,22865
2011-05-21,-32,5035,146,5150,91,9068,6900,16059
2011-05-28,263,1908,-545,1625,-832,2870,-407,1630
2011-06-04,987,-11867,178,-10702,86,-2608,-6858,-9380
2011-06-11,861,2437,-408,2891,-734,-3201,-2685,-6620
2011-06-18,1299,1062,351,2713,-1904,962,14378,13436
2011-06-25,493,3101,-138,3457,-318,-9787,-468,-10573
2011-07-02,1123,1186,221,2529,1884,4415,-3951,2348
2011-07-09,455,-2037,-36,-1619,2797,-1247,1621,3171
2011-07-16,1053,1176,93,2322,-720,-890,17687,16077
2011-07-23,970,-2237,376,-891,21,-1424,-6973,-8377
2011-07-30,-153,4406,-417,3835,-508,1436,-3548,-2619
2011-08-06,1453,-3237,-98,-1882,-3909,459,8847,5397
2011-08-13,1390,-3482,-339,-2430,-4011,2176,29752,27917
2011-08-20,773,204,-556,422,-3353,-751,23100,18996
2011-08-27,1463,417,-572,1309,-3380,-1386,-5045,-9811
2011-09-03,1761,11750,-190,13322,-877,3772,2015,4910
2011-09-10,648,-4691,-229,-4273,-5877,7625,5531,7279
2011-09-17,236,2562,128,2926,-1538,-4593,11782,5650
2011-09-24,327,14752,-107,14972,-179,-6254,-5787,-12221
2011-10-01,1329,9728,-401,10655,-1693,2588,4313,5208
2011-10-08,856,-22202,245,-21100,-587,2316,-56,1673
2011-10-15,209,4094,-121,4181,860,-948,-13406,-13494
2011-10-22,-210,10214,-236,9768,-398,-4884,-3044,-8326
2011-10-29,-933,10631,141,9839,1035,3061,2108,6204
2011-11-05,-1904,-16367,217,-18054,-1044,2297,8700,9952
2011-11-12,-770,-2335,55,-3050,-492,2971,4060,6539
2011-11-19,132,10015,-490,9656,-759,-6603,7324,-38
2011-11-26,137,-1060,-126,-1050,-1348,-2591,-11637,-15575
2011-12-03,899,2626,-1503,2021,585,-2221,3129,1493
2011-12-10,-329,4032,-651,3052,-3036,697,9324,6985
2011-12-17,-601,191,-298,-707,-2106,2777,26615,27286
2011-12-24,57,1460,-446,1071,-489,-5679,-696,-6864
2011-12-31,-379,-1550,-232,-2161,577,3150,-12998,-9271
2012-01-07,-564,3865,31,3332,426,-1461,14363,13327
2012-01-14,-336,9200,-80,8783,1398,1923,112,3433
2012-01-21,-761,2434,771,2443,1765,-3630,7118,5253
2012-01-28,-1026,11569,94,10637,387,-4858,-6698,-11169
2012-02-04,-1133,2832,-394,1305,644,10221,-8420,2445
2012-02-11,-638,10141,559,10062,1281,403,1900,3585
2012-02-18,-1057,-1009,647,-1419,2642,-6606,6194,2229
2012-02-25,-192,13551,-252,13106,548,217,-683,81
2012-03-03,-577,2764,-65,2122,1646,3591,-692,4546
2012-03-10,-494,3677,315,3498,874,2409,11,3294
2012-03-17,-592,-7226,-388,-8205,2873,-10358,10898,3413
2012-03-24,-1507,3484,-292,1685,-2437,-11347,9550,-4234
2012-03-31,-1583,7624,-1230,4810,1321,1441,-34771,-32009
2012-04-07,-951,-19037,-88,-20075,531,-1048,32200,31683
2012-04-14,-104,1165,90,1151,2037,7399,-22510,-13073
2012-04-21,423,-11703,-84,-11363,-623,-67,7468,6778
2012-04-28,281,3336,-538,3079,-1721,2773,-10423,-9371
2012-05-05,221,721,-242,700,-727,-1233,9215,7255
2012-05-12,-321,12585,-215,12048,-2592,-1287,11044,7165
2012-05-19,-361,2523,336,2498,-1302,-649,-8961,-10912
2012-05-26,484,-4081,188,-3409,-1133,328,-4065,-4871
2012-06-02,1966,5415,725,8106,-749,10230,4746,14227
2012-06-09,453,-1580,-319,-1445,-1872,4766,3408,6302
2012-06-16,413,730,194,1337,589,4768,-11492,-6135
2012-06-23,182,8694,-56,8820,500,-3129,4240,1610
2012-06-30,206,13407,-558,13055,-500,3776,7821,11097
2012-07-07,103,3505,312,3920,-32,-207,15365,15125
2012-07-14,-561,11648,216,11303,-1338,-73,-8611,-10022
2012-07-21,-224,1601,283,1660,-421,-188,3354,2745
2012-07-28,-126,-334,220,-240,-764,570,6360,6166
2012-08-04,-464,4501,194,4230,-826,7269,-3227,3217
2012-08-11,-232,1701,-202,1267,-681,-1410,6104,4013
2012-08-18,-438,-8369,-75,-8881,895,-1851,13072,12117
2012-08-25,-579,10474,217,10113,-1353,2154,-20227,-19426
2012-09-01,-346,8754,702,9110,-448,3954,7993,11499
2012-09-08,-769,7869,247,7347,659,2656,8487,11802
2012-09-15,-2894,643,104,-2147,598,5397,-6731,-736
2012-09-22,-668,-659,-341,-1668,-1017,-6511,4858,-2670
2012-09-29,-9,15424,310,15726,-2396,2979,342,926
2012-10-06,535,-2631,-72,-2168,1186,2944,3179,7309
2012-10-13,-63,7053,-23,6967,-267,1332,-22175,-21109
2012-10-20,-9,4750,816,5557,1952,2725,-1656,3022
2012-10-27,-365,2517,-375,1777,-121,-3630,-2305,-6056
2012-11-03,-237,653,-282,135,-277,938,-3,658
2012-11-10,-389,3675,-42,3244,-786,3092,6728,9034
2012-11-17,-418,4008,233,3824,1333,-604,10362,11092
2012-11-24,-198,1189,-801,190,2758,-512,-15786,-13539
2012-12-01,-157,4942,-64,4721,1843,3502,20595,25941
2012-12-08,-628,-6372,-738,-7738,1164,-311,12117,12970
2012-12-15,-1043,8985,255,8197,3896,1720,-8785,-3169
2012-12-22,-2317,4305,-1001,988,7649,-8475,-4024,-4850
2012-12-29,-447,-1485,-18,-1950,2260,-4359,-15543,-17642
2013-01-12,-1553,3926,-558,1814,2335,1390,28079,31804
2013-01-19,-2352,-350,372,-2330,1957,4810,-10911,-4144
2013-01-26,-2541,6628,-660,3427,2481,-2283,-5215,-5016
2013-02-02,-3529,-3709,84,-7154,4194,-2652,6898,8440
2013-02-09,-2286,-6455,-402,-9142,2133,-2617,2984,2500
2013-02-16,-4147,-6209,143,-10213,1959,-1801,-10176,-10018
2013-02-23,-1064,-6642,-108,-7814,1885,-822,5342,6405
2013-03-02,-4419,-8850,-211,-13480,2697,6579,-3507,5769
2013-03-09,-2695,7375,-483,4197,11219,-8391,18862,21689
2013-03-16,-5371,-4575,127,-9818,4716,-4951,-4420,-4656
2013-03-23,-6454,-4904,-626,-11985,-2676,-9752,-12149,-24577
2013-03-30,-718,-1424,-1293,-3435,2281,7320,-27978,-18377
2013-04-06,65,-11396,752,-10579,8686,4633,24298,37617
2013-04-13,-1577,-3328,-586,-5491,15688,-1761,-2653,11275
2013-04-20,-278,-8608,-452,-9338,-294,-2141,-1957,-4391
2013-04-27,-184,2044,-54,1805,6079,5877,8131,20087
2013-05-04,281,3020,-604,2696,-262,2672,-1238,1172
2013-05-11,191,1858,1,2050,8793,-4134,1151,5810
