date,resident_foreign_equity_net_100m_yen,resident_foreign_long_debt_net_100m_yen,resident_foreign_short_debt_net_100m_yen,resident_foreign_total_net_100m_yen,nonresident_japan_equity_net_100m_yen,nonresident_japan_long_debt_net_100m_yen,nonresident_japan_short_debt_net_100m_yen,nonresident_japan_total_net_100m_yen
2005-01-08,270,8878,662,9811,2278,4192,3894,10363
2005-01-15,8,3708,-671,3045,2180,5986,1461,9627
2005-01-22,730,-2729,540,-1458,1558,1036,3718,6312
2005-01-29,394,-3495,-1142,-4243,2710,6387,2658,11755
2005-02-05,623,2226,-390,2459,3571,3963,1018,8551
2005-02-12,-126,-7663,281,-7507,678,2290,-2181,787
2005-02-19,-1034,-3001,76,-3960,3429,2855,-5608,676
2005-02-26,348,3124,-732,2740,1811,-5294,-33,-3516
2005-03-05,191,-5787,-735,-6331,3456,-2722,-4632,-3898
2005-03-12,-314,-1856,-293,-2463,5211,3237,1292,9740
2005-03-19,-388,2012,321,1945,554,2340,-1053,1842
2005-03-26,287,-2306,-641,-2659,1264,-2362,-5645,-6742
2005-04-02,1059,2981,-55,3985,-584,-268,-2043,-2896
2005-04-09,987,9276,-139,10124,3031,6810,600,10441
2005-04-16,-437,7308,959,7830,-1261,3361,-1195,905
2005-04-23,419,14820,-492,14747,-420,2874,6487,8942
2005-04-30,754,4264,-128,4890,-111,5101,-1545,3445
2005-05-07,255,9483,16,9754,670,1448,-3340,-1222
2005-05-14,1564,12953,1792,16308,-365,5652,3311,8598
2005-05-21,183,-7356,-92,-7266,1979,10039,1014,13033
2005-05-28,542,3003,-464,3081,-497,4537,1330,5369
2005-06-04,165,2288,-127,2326,990,-32,-3219,-2261
2005-06-11,-751,5436,213,4898,-2810,9541,1247,7978
2005-06-18,25,-6514,-794,-7283,2785,-4131,-847,-2192
2005-06-25,450,17716,-56,18109,1712,-4111,-3760,-6159
2005-07-02,76,-2497,-176,-2597,742,3123,1214,5079
2005-07-09,51,2558,104,2713,4255,-1227,-840,2187
2005-07-16,-1422,6609,-114,5073,4370,-2171,3888,6087
2005-07-23,269,11872,358,12499,1267,-2943,-78,-1754
2005-07-30,-49,208,-170,-11,3339,13,1151,4502
2005-08-06,447,740,-572,615,4949,-1003,2123,6070
2005-08-13,-243,1554,-238,1072,7223,-1285,-1888,4050
2005-08-20,312,1206,65,1583,4477,-2696,4733,6515
2005-08-27,283,1918,-20,2181,3847,1125,-4120,852
2005-09-03,230,8276,-71,8434,2498,2899,-1054,4343
2005-09-10,1045,6975,-139,7882,6865,699,-2409,5155
2005-09-17,-132,-6938,-1270,-8340,3909,3418,-3276,4051
2005-09-24,511,966,-275,1203,-890,-5454,-4424,-10769
2005-10-01,511,2910,-645,2775,4839,-1869,1113,4083
2005-10-08,927,14795,668,16390,1268,-3218,-2540,-4490
2005-10-15,417,1910,12,2340,4069,-909,-2196,964
2005-10-22,664,6502,-426,6740,460,48,1127,1634
2005-10-29,1061,6999,-271,7789,3472,3312,3168,9952
2005-11-05,691,7161,158,8011,6559,899,681,8139
2005-11-12,400,571,-255,716,2617,1375,6590,10582
2005-11-19,907,1701,-128,2481,5595,3378,3338,12311
2005-11-26,174,-152,281,304,1343,-1022,1178,1498
2005-12-03,388,-906,-29,-547,6202,5723,4553,16478
2005-12-10,-239,7048,-88,6721,1659,5962,-326,7295
2005-12-17,271,5752,-179,5844,2229,2079,-1488,2820
2005-12-24,766,1806,-504,2068,3624,-6978,-688,-4042
2005-12-31,418,205,-725,-102,1632,-3680,-1615,-3663
2006-01-07,220,267,-204,283,2326,940,2238,5504
2006-01-14,768,63,181,1012,1157,4995,-118,6034
2006-01-21,-749,-2384,834,-2299,2464,8319,893,11676
2006-01-28,230,-2703,-496,-2969,3519,1539,3381,8438
2006-02-04,909,-2415,329,-1177,2982,-1541,-201,1239
2006-02-11,-595,1693,381,1479,-2290,-5868,-1013,-9172
2006-02-18,-67,-1532,-820,-2419,3310,-3201,-1582,-1473
2006-02-25,124,-1779,297,-1358,3664,2780,-2135,4309
2006-03-04,476,1871,426,2773,2546,426,3294,6266
2006-03-11,80,-3231,642,-2509,621,3077,929,4627
2006-03-18,-744,-13861,-195,-14800,4851,5178,92,10121
2006-03-25,29,-6646,-620,-7236,2983,-4788,-1477,-3282
2006-04-01,350,-2278,-587,-2515,6710,-3487,-3414,-191
2006-04-08,778,1554,863,3195,6123,675,-1310,5488
2006-04-15,349,-691,-877,-1219,-1945,4698,2794,5547
2006-04-22,1607,4924,-1995,4536,2524,-2019,3109,3614
2006-04-29,1399,5720,-94,7025,-3281,-2029,610,-4700
2006-05-06,224,2127,-19,2332,712,966,-3104,-1426
2006-05-13,687,4032,-501,4218,1231,-120,14896,16007
2006-05-20,495,1213,-446,1262,-4835,8374,2829,6368
2006-05-27,466,4344,294,5104,-2229,10702,10704,19177
2006-06-03,2271,400,-868,1803,3295,11975,-1273,13997
2006-06-10,-45,-1573,407,-1211,-4308,5889,4953,6533
2006-06-17,-535,-246,-592,-1374,-146,4652,6887,11394
2006-06-24,264,2886,-843,2308,-3341,-4543,2724,-5161
2006-07-01,-95,5915,-58,5762,2805,-8899,-4676,-10771
2006-07-08,415,6971,354,7740,2085,-1919,4277,4443
2006-07-15,48,-189,1418,1277,-3167,1865,1348,45
2006-07-22,-374,1386,139,1151,203,-6597,6008,-386
2006-07-29,14,-1737,-146,-1868,2280,-3549,-1167,-2436
2006-08-05,374,8599,382,9355,1879,-361,-4760,-3242
2006-08-12,225,-14,-404,-193,1332,2394,357,4084
2006-08-19,330,5461,218,6009,6747,-3987,4726,7487
2006-08-26,502,7756,-1,8257,-2983,966,783,-1234
2006-09-02,1131,-1048,-776,-692,1514,5634,-5747,1401
2006-09-09,41,1723,-55,1709,2284,-2374,-3480,-3570
2006-09-16,75,-168,53,-40,35,2553,-3154,-566
2006-09-23,-130,3294,-516,2648,-703,20,-5513,-6196
2006-09-30,-9,-8784,537,-8256,4484,2892,-642,6735
2006-10-07,264,7542,444,8250,3397,1000,-4594,-197
2006-10-14,22,-3094,-499,-3572,1956,-719,913,2150
2006-10-21,-499,5623,-412,4712,3401,934,-1549,2786
2006-10-28,-68,7448,-642,6738,3913,-259,-2210,1444
2006-11-04,998,188,-3,1183,-2425,5366,943,3884
2006-11-11,-377,9597,26,9247,-504,8010,-692,6814
2006-11-18,140,-3125,-644,-3629,1037,7216,12355,20607
2006-11-25,282,3260,-593,2949,2955,-726,5642,7871
2006-12-02,1688,1369,120,3177,3889,1552,-4146,1294
2006-12-09,69,1498,-401,1166,4623,6777,-749,10651
2006-12-16,-312,-2113,-633,-3057,6170,11529,-2006,15693
2006-12-23,539,959,-882,617,3805,-6476,962,-1709
2006-12-30,749,1709,-141,2317,1327,-5461,-2299,-6433
2007-01-13,-1321,2810,1106,2594,2763,-285,-3317,-839
2007-01-20,-355,-41,-893,-1289,6483,10409,990,17882
2007-01-27,-1016,55,343,-617,4831,9783,2793,17406
2007-02-03,-408,-3743,-801,-4952,5046,4215,-762,8499
2007-02-10,858,-3594,-362,-3098,4878,6655,-4310,7223
2007-02-17,257,-4384,-6,-4133,5557,1708,1855,9121
2007-02-24,1007,-3381,-88,-2462,6182,6863,543,13589
2007-03-03,493,-6667,-1083,-7257,-200,2139,-5966,-4027
2007-03-10,1027,-891,2017,2154,-4298,4346,-2681,-2633
2007-03-17,-133,-74,152,-55,-998,8586,-1402,6186
2007-03-24,-97,181,694,778,4453,-4857,2247,1844
2007-03-31,2114,-2779,-80,-744,312,-4602,-1840,-6130
2007-04-07,801,6151,510,7463,4801,-1391,-3998,-589
2007-04-14,130,4340,-240,4230,3185,-866,-3928,-1610
2007-04-21,-1026,6535,-1936,3574,4618,977,-2376,3219
2007-04-28,251,-4282,-186,-4216,-3797,7564,-4342,-575
2007-05-05,647,-289,377,735,365,3902,1050,5317
2007-05-12,1536,5329,-804,6061,1382,553,3418,5353
2007-05-19,-184,1952,-777,991,2173,3141,-1116,4198
2007-05-26,432,-4424,285,-3707,2613,642,4891,8147
2007-06-02,-201,4168,-201,3766,6202,1667,-21,7849
2007-06-09,-1811,-3210,110,-4911,4036,-5828,-2704,-4496
2007-06-16,223,-1215,-482,-1474,5524,-3532,-7260,-5268
2007-06-23,-240,-2088,34,-2293,-4405,3299,3710,2603
2007-06-30,1033,-1401,-753,-1121,4149,-3966,3675,3857
2007-07-07,1049,3714,610,5373,7618,-3238,1733,6113
2007-07-14,-2709,653,-732,-2788,1399,386,-5172,-3386
2007-07-21,-1081,-4415,102,-5394,2393,4948,3022,10363
2007-07-28,-487,26,474,13,-2952,-6173,-1998,-11123
2007-08-04,796,-5499,1053,-3650,-2643,13764,-2261,8861
2007-08-11,285,-44,-81,160,-3235,12689,2520,11975
2007-08-18,459,-4590,-2190,-6322,-8180,7519,17707,17046
2007-08-25,-1170,-4748,495,-5422,52,10400,-7148,3304
2007-09-01,660,1401,1423,3484,89,-525,6742,6307
2007-09-08,983,13873,1161,16017,-442,-956,7995,6598
2007-09-15,478,-4486,-1662,-5670,-6030,6860,5876,6706
2007-09-22,-633,10842,-102,10107,-1567,-11600,-2863,-16030
2007-09-29,-87,12809,-362,12360,2235,-782,11008,12461
2007-10-06,-106,5969,-1061,4801,2749,516,-7754,-4489
2007-10-13,-721,6228,-141,5366,1747,3509,-3068,2187
