country,country_code,date,for_treas_pos,for_treas_net,for_lt_treas_pos,for_lt_treas_net,for_lt_treas_valchg,for_st_treas_pos,for_st_treas_net
All Countries,69995.0,2022-09-01,7197520.0,,6284835.0,,,912685.0,-8188.0
All Countries,69995.0,2022-10-01,7080500.0,,6185546.0,,,894954.0,-17731.0
All Countries,69995.0,2022-11-01,7131308.0,,6233283.0,,,898025.0,3071.0
All Countries,69995.0,2022-12-01,7137127.0,,6195594.0,,,941533.0,43508.0
All Countries,69995.0,2023-01-01,7252120.0,,6318389.0,,,933731.0,-7802.0
All Countries,69995.0,2023-02-01,7202707.0,76911.0,6242112.0,50047.0,-107487.0,960595.0,26864.0
All Countries,69995.0,2023-03-01,7414943.0,90664.0,6457866.0,94182.0,122518.0,957077.0,-3518.0
All Countries,69995.0,2023-04-01,7455141.0,71296.0,6541499.0,114731.0,20464.0,913642.0,-43435.0
All Countries,69995.0,2023-05-01,7398495.0,36885.0,6503543.0,55575.0,-67370.0,894952.0,-18690.0
All Countries,69995.0,2023-06-01,7489028.0,126526.0,6538323.0,70773.0,-45767.0,950705.0,55753.0
All Countries,69995.0,2023-07-01,7516867.0,23499.0,6533441.0,-9222.0,-19259.0,983426.0,32721.0
All Countries,69995.0,2023-08-01,7545750.0,47131.0,6523830.0,8637.0,-27667.0,1021920.0,38494.0
All Countries,69995.0,2023-09-01,7431258.0,31040.0,6385523.0,7225.0,-141772.0,1045735.0,23815.0
All Countries,69995.0,2023-10-01,7391932.0,-14472.0,6372547.0,11878.0,-51608.0,1019385.0,-26350.0
All Countries,69995.0,2023-11-01,7632361.0,134341.0,6582758.0,104123.0,160271.0,1049603.0,30218.0
All Countries,69995.0,2023-12-01,7846483.0,23999.0,6780760.0,7879.0,137964.0,1065723.0,16120.0
All Countries,69995.0,2024-01-01,7872388.0,37824.0,6835731.0,66890.0,5186.0,1036657.0,-29066.0
All Countries,69995.0,2024-02-01,7909289.0,117563.0,6842248.0,87179.0,-61904.0,1067041.0,30384.0
All Countries,69995.0,2024-03-01,8015371.0,47917.0,6945711.0,45298.0,39367.0,1069660.0,2619.0
All Countries,69995.0,2024-04-01,7940660.0,70224.0,6883168.0,82392.0,-111498.0,1057492.0,-12168.0
All Countries,69995.0,2024-05-01,8027086.0,34220.0,6979209.0,43835.0,51333.0,1047877.0,-9615.0
All Countries,69995.0,2024-06-01,8202035.0,91313.0,7070622.0,7777.0,80833.0,1131413.0,83536.0
All Countries,69995.0,2024-07-01,8325951.0,62986.0,7184133.0,52581.0,91706.0,1141818.0,10405.0
All Countries,69995.0,2024-08-01,8508975.0,92353.0,7297799.0,22995.0,73818.0,1211176.0,69358.0
All Countries,69995.0,2024-09-01,8666442.0,76066.0,7441766.0,62566.0,54006.0,1224676.0,13500.0
All Countries,69995.0,2024-10-01,8582797.0,89531.0,7352905.0,84315.0,-112830.0,1229892.0,5216.0
All Countries,69995.0,2024-11-01,8615470.0,-25121.0,7376134.0,-34565.0,44656.0,1239336.0,9444.0
All Countries,69995.0,2024-12-01,8506419.0,-16609.0,7242215.0,-41477.0,-96288.0,1264204.0,24868.0
All Countries,69995.0,2025-01-01,8526637.0,38748.0,7219875.0,-3810.0,5926.0,1306762.0,42558.0
All Countries,69995.0,2025-02-01,8815057.0,170990.0,7442593.0,105288.0,116094.0,1372464.0,65702.0
All Countries,69995.0,2025-03-01,8966276.0,141801.0,7578038.0,126027.0,-4663.0,1388238.0,15774.0
All Countries,69995.0,2025-04-01,8909169.0,-73494.0,7535596.0,-58829.0,22982.0,1373573.0,-14665.0
All Countries,69995.0,2025-05-01,8933632.0,137522.0,7556587.0,134050.0,-83872.0,1377045.0,3472.0
All Countries,69995.0,2025-06-01,9000133.0,12298.0,7610459.0,-331.0,50865.0,1389674.0,12629.0
All Countries,69995.0,2025-07-01,9019436.0,44884.0,7628155.0,43277.0,-48907.0,1391281.0,1607.0
All Countries,69995.0,2025-08-01,9158650.0,71953.0,7743171.0,47755.0,40834.0,1415479.0,24198.0
All Countries,69995.0,2025-09-01,9143029.0,3295.0,7750275.0,26020.0,32630.0,1392754.0,-22725.0
All Countries,69995.0,2025-10-01,9138456.0,-36878.0,7724331.0,-58249.0,10705.0,1414125.0,21371.0
All Countries,69995.0,2025-11-01,9251507.0,74045.0,7837315.0,73978.0,14915.0,1414192.0,67.0
All Countries,69995.0,2025-12-01,9176304.0,-7875.0,7752512.0,-17475.0,-57987.0,1423792.0,9600.0
All Countries,69995.0,2026-01-01,9201573.0,38136.0,7785661.0,46016.0,-15668.0,1415912.0,-7880.0
All Countries,69995.0,2026-02-01,9393205.0,88756.0,7891245.0,2708.0,76340.0,1501960.0,86048.0
All Countries,69995.0,2026-03-01,9261300.0,2682.0,7769534.0,12876.0,-141752.0,1491766.0,-10194.0
All Countries,69995.0,2026-04-01,9257257.0,26503.0,7785990.0,47002.0,-38464.0,1471267.0,-20499.0
All Countries,69995.0,2026-05-01,9279089.0,17002.0,7849177.0,58357.0,-23146.0,1429912.0,-41355.0
Anguilla,30228.0,2020-01-01,,,79.0,,,,
Anguilla,30228.0,2020-02-01,,,82.0,,,,
Anguilla,30228.0,2020-03-01,,,81.0,,,,
Anguilla,30228.0,2020-04-01,,,82.0,,,,
Anguilla,30228.0,2020-05-01,,,85.0,,,,
Anguilla,30228.0,2020-06-01,,,85.0,,,,
Anguilla,30228.0,2020-07-01,,,85.0,,,,
Anguilla,30228.0,2020-08-01,,,85.0,,,,
Anguilla,30228.0,2020-09-01,,,84.0,,,,
Anguilla,30228.0,2020-10-01,,,79.0,,,,
Anguilla,30228.0,2020-11-01,,,69.0,,,,
Anguilla,30228.0,2020-12-01,,,69.0,,,,
Anguilla,30228.0,2021-01-01,,,70.0,,,,
Anguilla,30228.0,2021-02-01,,,69.0,,,,
Anguilla,30228.0,2021-03-01,,,70.0,,,,
Anguilla,30228.0,2021-04-01,,,75.0,,,,
Anguilla,30228.0,2021-05-01,,,75.0,,,,
Anguilla,30228.0,2021-06-01,,,77.0,,,,
Anguilla,30228.0,2021-07-01,,,0.0,,,,
Anguilla,30228.0,2021-08-01,,,14.0,,,,
Anguilla,30228.0,2021-09-01,,,0.0,,,,
Anguilla,30228.0,2021-10-01,,,49.0,,,,
Anguilla,30228.0,2021-11-01,,,84.0,,,,
Anguilla,30228.0,2021-12-01,,,134.0,,,,
Anguilla,30228.0,2022-01-01,,,87.0,,,,
Anguilla,30228.0,2022-02-01,,,227.0,,,,
Anguilla,30228.0,2022-03-01,,,87.0,,,,
Anguilla,30228.0,2022-04-01,,,87.0,,,,
Anguilla,30228.0,2022-05-01,,,177.0,,,,
Anguilla,30228.0,2022-06-01,,,88.0,,,,
Anguilla,30228.0,2022-07-01,,,88.0,,,,
Anguilla,30228.0,2022-08-01,,,88.0,,,,
Anguilla,30228.0,2022-09-01,,,181.0,,,,
Anguilla,30228.0,2022-10-01,,,89.0,,,,
Anguilla,30228.0,2022-11-01,,,92.0,,,,
Anguilla,30228.0,2022-12-01,,,126.0,,,,
Anguilla,30228.0,2023-01-01,,,100.0,,,,
Anguilla,30228.0,2023-02-01,,,93.0,-19.0,6.0,,
Anguilla,30228.0,2023-03-01,,,93.0,0.0,0.0,,
Anguilla,30228.0,2023-04-01,,,95.0,5.0,0.0,,
Anguilla,30228.0,2023-05-01,,,95.0,-4.0,1.0,,
Anguilla,30228.0,2023-06-01,,,94.0,-1.0,-0.0,,
Anguilla,30228.0,2023-07-01,,,122.0,2.0,0.0,,
Anguilla,30228.0,2023-08-01,,,251.0,-2.0,-1.0,,
Anguilla,30228.0,2023-09-01,,,115.0,0.0,-0.0,,
Anguilla,30228.0,2023-10-01,,,90.0,0.0,-1.0,,
Anguilla,30228.0,2023-11-01,,,87.0,1.0,-4.0,,
Anguilla,30228.0,2023-12-01,,,85.0,1.0,-4.0,,
Anguilla,30228.0,2024-01-01,,,84.0,1.0,-1.0,,
Anguilla,30228.0,2024-02-01,,,82.0,0.0,-1.0,,
Anguilla,30228.0,2024-03-01,,,76.0,-1.0,-6.0,,
Anguilla,30228.0,2024-04-01,,,95.0,19.0,-1.0,,
Anguilla,30228.0,2024-05-01,,,86.0,-9.0,-1.0,,
Anguilla,30228.0,2024-06-01,,,157.0,12.0,-1.0,,
Anguilla,30228.0,2024-07-01,,,133.0,0.0,0.0,,
Anguilla,30228.0,2024-08-01,,,134.0,-3.0,4.0,,
Anguilla,30228.0,2024-09-01,,,123.0,-12.0,1.0,,
Anguilla,30228.0,2024-10-01,,,121.0,2.0,-2.0,,
Anguilla,30228.0,2024-11-01,,,128.0,3.0,-2.0,,
Anguilla,30228.0,2024-12-01,,,120.0,10.0,-17.0,,
Anguilla,30228.0,2025-01-01,,,169.0,5.0,-2.0,,
Anguilla,30228.0,2025-02-01,,,126.0,3.0,0.0,,
Anguilla,30228.0,2025-03-01,,,150.0,11.0,-5.0,,
Anguilla,30228.0,2025-04-01,,,138.0,7.0,-1.0,,
Anguilla,30228.0,2025-05-01,,,196.0,14.0,-7.0,,
Anguilla,30228.0,2025-06-01,,,136.0,4.0,-12.0,,
Anguilla,30228.0,2025-07-01,,,138.0,10.0,-7.0,,
Anguilla,30228.0,2025-08-01,,,144.0,5.0,1.0,,
Anguilla,30228.0,2025-09-01,,,144.0,-0.0,1.0,,
Anguilla,30228.0,2025-10-01,,,148.0,7.0,-2.0,,
Anguilla,30228.0,2025-11-01,,,152.0,-0.0,5.0,,
Anguilla,30228.0,2025-12-01,,,136.0,-12.0,-5.0,,
Anguilla,30228.0,2026-01-01,,,104.0,-32.0,0.0,,
Anguilla,30228.0,2026-02-01,,,100.0,-2.0,-4.0,,
Anguilla,30228.0,2026-03-01,,,106.0,5.0,3.0,,
Anguilla,30228.0,2026-04-01,,,122.0,-8.0,-1.0,,
Anguilla,30228.0,2026-05-01,,,97.0,5.0,-1.0,,
Argentina,30104.0,2020-01-01,6680.0,,1410.0,,,5270.0,-5.0
Argentina,30104.0,2020-02-01,6446.0,,1437.0,,,5009.0,-261.0
Argentina,30104.0,2020-03-01,5956.0,,1342.0,,,4614.0,-395.0
Argentina,30104.0,2020-04-01,5360.0,,1300.0,,,4060.0,-554.0
Argentina,30104.0,2020-05-01,5236.0,,1297.0,,,3939.0,-121.0
Argentina,30104.0,2020-06-01,5070.0,,1240.0,,,3830.0,-109.0
Argentina,30104.0,2020-07-01,4779.0,,1200.0,,,3579.0,-251.0
Argentina,30104.0,2020-08-01,4690.0,,1163.0,,,3527.0,-52.0
Argentina,30104.0,2020-09-01,4404.0,,1092.0,,,3312.0,-215.0
Argentina,30104.0,2020-10-01,4090.0,,1038.0,,,3052.0,-260.0
Argentina,30104.0,2020-11-01,3931.0,,960.0,,,2971.0,-81.0
Argentina,30104.0,2020-12-01,3628.0,,950.0,,,2678.0,-293.0
Argentina,30104.0,2021-01-01,3595.0,,932.0,,,2663.0,-15.0
Argentina,30104.0,2021-02-01,3349.0,,844.0,,,2505.0,-158.0
Argentina,30104.0,2021-03-01,3241.0,,820.0,,,2421.0,-84.0
Argentina,30104.0,2021-04-01,3144.0,,818.0,,,2326.0,-95.0
Argentina,30104.0,2021-05-01,3172.0,,805.0,,,2367.0,41.0
Argentina,30104.0,2021-06-01,3152.0,,830.0,,,2322.0,-45.0
Argentina,30104.0,2021-07-01,3112.0,,809.0,,,2303.0,-19.0
Argentina,30104.0,2021-08-01,3074.0,,803.0,,,2271.0,-32.0
Argentina,30104.0,2021-09-01,3113.0,,770.0,,,2343.0,72.0
Argentina,30104.0,2021-10-01,3121.0,,832.0,,,2289.0,-54.0
Argentina,30104.0,2021-11-01,3111.0,,778.0,,,2333.0,44.0
Argentina,30104.0,2021-12-01,3053.0,,762.0,,,2291.0,-42.0
Argentina,30104.0,2022-01-01,3090.0,,757.0,,,2333.0,42.0
Argentina,30104.0,2022-02-01,3148.0,,726.0,,,2422.0,89.0
Argentina,30104.0,2022-03-01,3455.0,,788.0,,,2667.0,245.0
Argentina,30104.0,2022-04-01,3781.0,,915.0,,,2866.0,199.0
Argentina,30104.0,2022-05-01,3860.0,,934.0,,,2926.0,60.0
Argentina,30104.0,2022-06-01,4381.0,,1093.0,,,3288.0,362.0
Argentina,30104.0,2022-07-01,4892.0,,1205.0,,,3687.0,399.0
Argentina,30104.0,2022-08-01,5225.0,,1301.0,,,3924.0,237.0
Argentina,30104.0,2022-09-01,5536.0,,1337.0,,,4199.0,275.0
Argentina,30104.0,2022-10-01,6208.0,,1510.0,,,4698.0,499.0
Argentina,30104.0,2022-11-01,6759.0,,1769.0,,,4990.0,292.0
Argentina,30104.0,2022-12-01,6542.0,,1829.0,,,4713.0,-277.0
Argentina,30104.0,2023-01-01,6854.0,,1763.0,,,5091.0,378.0
Argentina,30104.0,2023-02-01,7179.0,381.0,1848.0,141.0,-15.0,5331.0,240.0
Argentina,30104.0,2023-03-01,7838.0,867.0,1854.0,214.0,-243.0,5984.0,653.0
Argentina,30104.0,2023-04-01,8056.0,305.0,1855.0,88.0,2.0,6201.0,217.0
Argentina,30104.0,2023-05-01,8230.0,235.0,1916.0,122.0,7.0,6314.0,113.0
Argentina,30104.0,2023-06-01,8400.0,185.0,1987.0,86.0,-13.0,6413.0,99.0
Argentina,30104.0,2023-07-01,8584.0,211.0,2033.0,73.0,-18.0,6551.0,138.0
Argentina,30104.0,2023-08-01,8792.0,234.0,2189.0,182.0,-6.0,6603.0,52.0
Argentina,30104.0,2023-09-01,9084.0,363.0,2306.0,188.0,-46.0,6778.0,175.0
Argentina,30104.0,2023-10-01,7534.0,-1377.0,2306.0,173.0,-3.0,5228.0,-1550.0
Argentina,30104.0,2023-11-01,7468.0,67.0,2419.0,246.0,10.0,5049.0,-179.0
Argentina,30104.0,2023-12-01,7670.0,204.0,2724.0,307.0,27.0,4946.0,-103.0
Argentina,30104.0,2024-01-01,7800.0,232.0,2806.0,184.0,-12.0,4994.0,48.0
Argentina,30104.0,2024-02-01,7679.0,-72.0,2792.0,35.0,-18.0,4887.0,-107.0
Argentina,30104.0,2024-03-01,8569.0,1030.0,2698.0,46.0,10.0,5871.0,984.0
Argentina,30104.0,2024-04-01,8678.0,1217.0,2544.0,954.0,-16.0,6134.0,263.0
Argentina,30104.0,2024-05-01,8802.0,283.0,2516.0,131.0,16.0,6286.0,152.0
Argentina,30104.0,2024-06-01,8836.0,85.0,2576.0,111.0,42.0,6260.0,-26.0
Argentina,30104.0,2024-07-01,9199.0,416.0,2633.0,110.0,18.0,6566.0,306.0
Argentina,30104.0,2024-08-01,10301.0,838.0,3155.0,258.0,16.0,7146.0,580.0
Argentina,30104.0,2024-09-01,10587.0,-187.0,3499.0,-129.0,4.0,7088.0,-58.0
Argentina,30104.0,2024-10-01,10301.0,-173.0,3470.0,84.0,-74.0,6831.0,-257.0
Argentina,30104.0,2024-11-01,10113.0,-155.0,3553.0,116.0,28.0,6560.0,-271.0
Argentina,30104.0,2024-12-01,9390.0,255.0,2803.0,228.0,-27.0,6587.0,27.0
Argentina,30104.0,2025-01-01,9476.0,141.0,2978.0,230.0,-4.0,6498.0,-89.0
Argentina,30104.0,2025-02-01,9415.0,34.0,3054.0,171.0,1.0,6361.0,-137.0
Argentina,30104.0,2025-03-01,9488.0,-3.0,3112.0,-18.0,-2.0,6376.0,15.0
Argentina,30104.0,2025-04-01,9561.0,257.0,3000.0,72.0,-9.0,6561.0,185.0
Argentina,30104.0,2025-05-01,10024.0,524.0,3715.0,776.0,-20.0,6309.0,-252.0
Argentina,30104.0,2025-06-01,9818.0,366.0,3420.0,277.0,-17.0,6398.0,89.0
Argentina,30104.0,2025-07-01,10115.0,510.0,3588.0,381.0,-27.0,6527.0,129.0
Argentina,30104.0,2025-08-01,10545.0,519.0,4039.0,540.0,16.0,6506.0,-21.0
Argentina,30104.0,2025-09-01,9931.0,-448.0,4069.0,196.0,-17.0,5862.0,-644.0
Argentina,30104.0,2025-10-01,11465.0,1636.0,4884.0,917.0,-27.0,6581.0,719.0
Argentina,30104.0,2025-11-01,11513.0,101.0,4863.0,32.0,-11.0,6650.0,69.0
Argentina,30104.0,2025-12-01,10524.0,-42.0,4950.0,1034.0,-28.0,5574.0,-1076.0
Argentina,30104.0,2026-01-01,10054.0,-179.0,4872.0,213.0,-8.0,5182.0,-392.0
Argentina,30104.0,2026-02-01,10215.0,238.0,5265.0,470.0,8.0,4950.0,-232.0
Argentina,30104.0,2026-03-01,10050.0,15.0,5203.0,118.0,-54.0,4847.0,-103.0
Argentina,30104.0,2026-04-01,10320.0,765.0,5968.0,1260.0,9.0,4352.0,-495.0
Argentina,30104.0,2026-05-01,10967.0,667.0,6517.0,569.0,-17.0,4450.0,98.0
Aruba,35254.0,2020-01-01,,,90.0,,,,
Aruba,35254.0,2020-02-01,,,91.0,,,,
Aruba,35254.0,2020-03-01,,,86.0,,,,
Aruba,35254.0,2020-04-01,,,90.0,,,,
Aruba,35254.0,2020-05-01,,,95.0,,,,
Aruba,35254.0,2020-06-01,,,94.0,,,,
Aruba,35254.0,2020-07-01,,,82.0,,,,
Aruba,35254.0,2020-08-01,,,82.0,,,,
Aruba,35254.0,2020-09-01,,,82.0,,,,
Aruba,35254.0,2020-10-01,,,82.0,,,,
Aruba,35254.0,2020-11-01,,,82.0,,,,
Aruba,35254.0,2020-12-01,,,109.0,,,,
Aruba,35254.0,2021-01-01,,,105.0,,,,
Aruba,35254.0,2021-02-01,,,107.0,,,,
Aruba,35254.0,2021-03-01,,,107.0,,,,
Aruba,35254.0,2021-04-01,,,105.0,,,,
Aruba,35254.0,2021-05-01,,,96.0,,,,
Aruba,35254.0,2021-06-01,,,80.0,,,,
Aruba,35254.0,2021-07-01,,,87.0,,,,
Aruba,35254.0,2021-08-01,,,81.0,,,,
Aruba,35254.0,2021-09-01,,,78.0,,,,
Aruba,35254.0,2021-10-01,,,87.0,,,,
Aruba,35254.0,2021-11-01,,,107.0,,,,
Aruba,35254.0,2021-12-01,,,89.0,,,,
Aruba,35254.0,2022-01-01,,,93.0,,,,
Aruba,35254.0,2022-02-01,,,248.0,,,,
Aruba,35254.0,2022-03-01,,,237.0,,,,
Aruba,35254.0,2022-04-01,,,233.0,,,,
Aruba,35254.0,2022-05-01,,,250.0,,,,
Aruba,35254.0,2022-06-01,,,265.0,,,,
Aruba,35254.0,2022-07-01,,,245.0,,,,
Aruba,35254.0,2022-08-01,,,243.0,,,,
Aruba,35254.0,2022-09-01,,,219.0,,,,
Aruba,35254.0,2022-10-01,,,218.0,,,,
Aruba,35254.0,2022-11-01,,,257.0,,,,
Aruba,35254.0,2022-12-01,,,243.0,,,,
Aruba,35254.0,2023-01-01,,,257.0,,,,
Aruba,35254.0,2023-02-01,,,258.0,8.0,-4.0,,
Aruba,35254.0,2023-03-01,,,264.0,1.0,4.0,,
Aruba,35254.0,2023-04-01,,,283.0,18.0,1.0,,
Aruba,35254.0,2023-05-01,,,268.0,-14.0,-2.0,,
Aruba,35254.0,2023-06-01,,,277.0,12.0,-2.0,,
Aruba,35254.0,2023-07-01,,,322.0,-92.0,0.0,,
Aruba,35254.0,2023-08-01,,,323.0,4.0,-1.0,,
Aruba,35254.0,2023-09-01,,,320.0,2.0,-3.0,,
Aruba,35254.0,2023-10-01,,,334.0,16.0,0.0,,
Aruba,35254.0,2023-11-01,,,340.0,11.0,6.0,,
Aruba,35254.0,2023-12-01,,,374.0,23.0,5.0,,
Aruba,35254.0,2024-01-01,,,359.0,-15.0,0.0,,
Aruba,35254.0,2024-02-01,,,402.0,49.0,-5.0,,
Aruba,35254.0,2024-03-01,,,415.0,6.0,1.0,,
Aruba,35254.0,2024-04-01,,,421.0,13.0,-6.0,,
Aruba,35254.0,2024-05-01,,,462.0,39.0,3.0,,
Aruba,35254.0,2024-06-01,,,462.0,-3.0,2.0,,
Aruba,35254.0,2024-07-01,,,512.0,48.0,5.0,,
Aruba,35254.0,2024-08-01,,,534.0,12.0,8.0,,
Aruba,35254.0,2024-09-01,,,589.0,54.0,-6.0,,
Aruba,35254.0,2024-10-01,,,596.0,18.0,-11.0,,
Aruba,35254.0,2024-11-01,,,603.0,4.0,2.0,,
Aruba,35254.0,2024-12-01,,,631.0,25.0,2.0,,
Aruba,35254.0,2025-01-01,,,656.0,-1.0,1.0,,
Aruba,35254.0,2025-02-01,,,631.0,-32.0,6.0,,
Aruba,35254.0,2025-03-01,,,654.0,19.0,4.0,,
Aruba,35254.0,2025-04-01,,,674.0,21.0,5.0,,
Aruba,35254.0,2025-05-01,,,679.0,9.0,-5.0,,
Aruba,35254.0,2025-06-01,,,689.0,3.0,6.0,,
Aruba,35254.0,2025-07-01,,,689.0,3.0,-4.0,,
Aruba,35254.0,2025-08-01,,,795.0,106.0,4.0,,
Aruba,35254.0,2025-09-01,,,798.0,6.0,1.0,,
Aruba,35254.0,2025-10-01,,,805.0,9.0,1.0,,
Aruba,35254.0,2025-11-01,,,796.0,-6.0,3.0,,
Aruba,35254.0,2025-12-01,,,812.0,7.0,-1.0,,
Aruba,35254.0,2026-01-01,,,832.0,4.0,0.0,,
Aruba,35254.0,2026-02-01,,,837.0,-1.0,8.0,,
Aruba,35254.0,2026-03-01,,,782.0,-40.0,-10.0,,
Aruba,35254.0,2026-04-01,,,750.0,-32.0,-1.0,,
Aruba,35254.0,2026-05-01,,,758.0,8.0,-1.0,,
Australia,60089.0,2020-01-01,45109.0,,39473.0,,,5636.0,-230.0
Australia,60089.0,2020-02-01,43709.0,,38422.0,,,5287.0,-349.0
Australia,60089.0,2020-03-01,46283.0,,40647.0,,,5636.0,349.0
Australia,60089.0,2020-04-01,44841.0,,36935.0,,,7906.0,2270.0
Australia,60089.0,2020-05-01,43481.0,,33743.0,,,9738.0,1832.0
Australia,60089.0,2020-06-01,42992.0,,32866.0,,,10126.0,388.0
Australia,60089.0,2020-07-01,43781.0,,34678.0,,,9103.0,-1023.0
Australia,60089.0,2020-08-01,42885.0,,34162.0,,,8723.0,-380.0
Australia,60089.0,2020-09-01,39327.0,,31474.0,,,7853.0,-870.0
Australia,60089.0,2020-10-01,39492.0,,31065.0,,,8427.0,574.0
Australia,60089.0,2020-11-01,40637.0,,30988.0,,,9649.0,1222.0
Australia,60089.0,2020-12-01,39788.0,,32349.0,,,7439.0,-2210.0
Australia,60089.0,2021-01-01,41035.0,,31852.0,,,9183.0,1744.0
Australia,60089.0,2021-02-01,40478.0,,33101.0,,,7377.0,-1806.0
Australia,60089.0,2021-03-01,41253.0,,34184.0,,,7069.0,-308.0
Australia,60089.0,2021-04-01,42877.0,,35964.0,,,6913.0,-156.0
Australia,60089.0,2021-05-01,45380.0,,37022.0,,,8358.0,1445.0
Australia,60089.0,2021-06-01,45118.0,,37179.0,,,7939.0,-419.0
Australia,60089.0,2021-07-01,46297.0,,38652.0,,,7645.0,-294.0
Australia,60089.0,2021-08-01,47077.0,,39170.0,,,7907.0,262.0
Australia,60089.0,2021-09-01,47792.0,,38744.0,,,9048.0,1141.0
Australia,60089.0,2021-10-01,53778.0,,43372.0,,,10406.0,1358.0
Australia,60089.0,2021-11-01,54585.0,,44475.0,,,10110.0,-296.0
Australia,60089.0,2021-12-01,56271.0,,45652.0,,,10619.0,509.0
Australia,60089.0,2022-01-01,59704.0,,47425.0,,,12279.0,1660.0
Australia,60089.0,2022-02-01,60611.0,,48826.0,,,11785.0,-494.0
Australia,60089.0,2022-03-01,59189.0,,47988.0,,,11201.0,-584.0
Australia,60089.0,2022-04-01,60155.0,,49907.0,,,10248.0,-953.0
Australia,60089.0,2022-05-01,57191.0,,49127.0,,,8064.0,-2184.0
Australia,60089.0,2022-06-01,54297.0,,47265.0,,,7032.0,-1032.0
Australia,60089.0,2022-07-01,56290.0,,48888.0,,,7402.0,370.0
Australia,60089.0,2022-08-01,56237.0,,47148.0,,,9089.0,1687.0
Australia,60089.0,2022-09-01,56253.0,,45104.0,,,11149.0,2060.0
Australia,60089.0,2022-10-01,58544.0,,47220.0,,,11324.0,175.0
Australia,60089.0,2022-11-01,58309.0,,46979.0,,,11330.0,6.0
Australia,60089.0,2022-12-01,56444.0,,44811.0,,,11633.0,303.0
Australia,60089.0,2023-01-01,60970.0,,48832.0,,,12138.0,505.0
Australia,60089.0,2023-02-01,57553.0,-1925.0,45894.0,-1446.0,-485.0,11659.0,-479.0
Australia,60089.0,2023-03-01,59160.0,-241.0,46720.0,-1022.0,1476.0,12440.0,781.0
Australia,60089.0,2023-04-01,59003.0,-915.0,47474.0,-4.0,258.0,11529.0,-911.0
Australia,60089.0,2023-05-01,52845.0,-2236.0,43224.0,-328.0,-654.0,9621.0,-1908.0
Australia,60089.0,2023-06-01,56458.0,2964.0,43939.0,66.0,142.0,12519.0,2898.0
Australia,60089.0,2023-07-01,53908.0,-3751.0,41003.0,-4137.0,51.0,12905.0,386.0
Australia,60089.0,2023-08-01,55784.0,2504.0,41327.0,952.0,-284.0,14457.0,1552.0
