country,country_code,date,for_treas_pos,for_treas_net,for_lt_treas_pos,for_lt_treas_net,for_lt_treas_valchg,for_st_treas_pos,for_st_treas_net
All Countries,69995.0,2020-01-01,6958428.0,,6261205.0,,,697223.0,-10494.0
All Countries,69995.0,2020-02-01,7153091.0,,6425488.0,,,727603.0,30380.0
All Countries,69995.0,2020-03-01,6892372.0,,6173708.0,,,718664.0,-8939.0
All Countries,69995.0,2020-04-01,6829860.0,,5966985.0,,,862875.0,144211.0
All Countries,69995.0,2020-05-01,6906037.0,,5965445.0,,,940592.0,77717.0
All Countries,69995.0,2020-06-01,6982528.0,,5966298.0,,,1016230.0,75638.0
All Countries,69995.0,2020-07-01,7016865.0,,6007640.0,,,1009225.0,-7005.0
All Countries,69995.0,2020-08-01,7013571.0,,5994176.0,,,1019395.0,10170.0
All Countries,69995.0,2020-09-01,6999078.0,,6011049.0,,,988029.0,-31366.0
All Countries,69995.0,2020-10-01,7005787.0,,6023591.0,,,982196.0,-5833.0
All Countries,69995.0,2020-11-01,6987221.0,,5992415.0,,,994806.0,12610.0
All Countries,69995.0,2020-12-01,7018061.0,,6012401.0,,,1005660.0,10854.0
All Countries,69995.0,2021-01-01,7065504.0,,6071520.0,,,993984.0,-11676.0
All Countries,69995.0,2021-02-01,7048359.0,,6031759.0,,,1016600.0,22616.0
All Countries,69995.0,2021-03-01,6977159.0,,6026659.0,,,950500.0,-66100.0
All Countries,69995.0,2021-04-01,7026091.0,,6135407.0,,,890684.0,-59816.0
All Countries,69995.0,2021-05-01,7089773.0,,6217630.0,,,872143.0,-18541.0
All Countries,69995.0,2021-06-01,7460789.0,,6549488.0,,,911301.0,39158.0
All Countries,69995.0,2021-07-01,7509370.0,,6599485.0,,,909885.0,-1416.0
All Countries,69995.0,2021-08-01,7521169.0,,6611156.0,,,910013.0,128.0
All Countries,69995.0,2021-09-01,7512739.0,,6596607.0,,,916132.0,6119.0
All Countries,69995.0,2021-10-01,7596687.0,,6648085.0,,,948602.0,32470.0
All Countries,69995.0,2021-11-01,7625306.0,,6665766.0,,,959540.0,10938.0
All Countries,69995.0,2021-12-01,7678707.0,,6704352.0,,,974355.0,14815.0
All Countries,69995.0,2022-01-01,7594704.0,,6611235.0,,,983469.0,9114.0
All Countries,69995.0,2022-02-01,7645635.0,,6634640.0,,,1010995.0,27526.0
All Countries,69995.0,2022-03-01,7541383.0,,6548542.0,,,992841.0,-18154.0
All Countries,69995.0,2022-04-01,7378295.0,,6405773.0,,,972522.0,-20319.0
All Countries,69995.0,2022-05-01,7348471.0,,6449674.0,,,898797.0,-73725.0
All Countries,69995.0,2022-06-01,7352672.0,,6471363.0,,,881309.0,-17488.0
All Countries,69995.0,2022-07-01,7427622.0,,6553479.0,,,874143.0,-7166.0
All Countries,69995.0,2022-08-01,7438660.0,,6517787.0,,,920873.0,46730.0
