country,country_code,date,for_treas_pos,for_treas_net,for_lt_treas_pos,for_lt_treas_net,for_lt_treas_valchg,for_st_treas_pos,for_st_treas_net
Japan,42609.0,2026-05-01,1143139.0,-62628.0,1049582.0,-2838.0,-2672.0,93557.0,-59790.0
United Kingdom,13005.0,2026-05-01,948593.0,14989.0,847086.0,6876.0,-13650.0,101507.0,8113.0
"China, Mainland",41408.0,2026-05-01,659282.0,5947.0,608486.0,-129.0,1705.0,50796.0,6076.0
Belgium,10251.0,2026-05-01,472030.0,3965.0,390155.0,-599.0,2148.0,81875.0,4564.0
Cayman Islands,36137.0,2026-05-01,471263.0,777.0,312450.0,-5920.0,-6362.0,158813.0,6697.0
Luxembourg,11703.0,2026-05-01,436038.0,2188.0,345480.0,5922.0,-696.0,90558.0,-3734.0
Ireland,11401.0,2026-05-01,357213.0,11814.0,242641.0,4996.0,-630.0,114572.0,6818.0
Switzerland,12688.0,2026-05-01,281111.0,-4548.0,225888.0,-2330.0,-608.0,55223.0,-2218.0
