date,resident_foreign_equity_net_100m_yen,resident_foreign_long_debt_net_100m_yen,resident_foreign_short_debt_net_100m_yen,resident_foreign_total_net_100m_yen,nonresident_japan_equity_net_100m_yen,nonresident_japan_long_debt_net_100m_yen,nonresident_japan_short_debt_net_100m_yen,nonresident_japan_total_net_100m_yen
2026-02-21,4052,-19008,1395,-13561,3997,18829,-8692,14135
2026-02-28,1007,-6731,-918,-6641,9739,13651,11381,34771
2026-03-07,1474,4044,-915,4602,3855,-9636,-2113,-7893
2026-03-14,9515,-9558,-2629,-2672,-17725,11946,-9526,-15305
2026-03-21,-403,-6352,3297,-3458,-25110,5118,19977,-16
2026-03-28,1406,-9455,-2244,-10293,-44481,-26461,-41578,-112521
2026-04-04,14343,-24789,-482,-10928,29518,23762,-3874,49405
2026-04-11,2556,6982,-3779,5759,39413,7069,-15387,31095
2026-04-18,3383,-88,-1702,1592,23818,-2947,18923,39794
2026-04-25,412,-8877,-2559,-11024,8117,-7863,-11055,-10801
2026-05-02,-24252,24064,357,169,3015,7292,-13161,-2855
2026-05-09,-5826,16443,-1475,9142,13935,1062,3679,18676
2026-05-16,414,7730,577,8721,9484,-10332,-7946,-8794
2026-05-23,-3678,82,-1221,-4816,10794,13502,-21333,2963
2026-05-30,-10681,-1844,120,-12405,-4915,12502,4947,12533
2026-06-06,-9532,2096,423,-7013,-7006,-10386,8479,-8913
2026-06-13,-4173,3825,-2242,-2589,-7852,-5309,-2359,-15520
2026-06-20,4267,2021,1740,8028,4513,-10573,4644,-1416
2026-06-27,1478,-2775,2798,1501,-18175,-5023,-24006,-47204
2026-07-04,8266,-2173,-1243,4850,-213,-384,46,-551
2026-07-11,1962,10929,7457,20348,7426,5015,-5747,6693
2026-07-18,-1213,-7237,-2561,-11011,-819,-1850,-3141,-5810
2026-07-25,2891,-8101,-411,-5621,9124,-15141,-28824,-34841
2026-08-01,-2764,4779,4247,6262,-3925,5589,-2929,-1266
